"","values","value2"
"5045",NA,NA
"5046",NA,NA
"5047",NA,NA
"5048",1.6,1.6
"5049",NA,NA
"5050",1.6,1.6
"5051",NA,NA
"5052",1.5,1.5
"5053",NA,NA
"5054",1.5,1.5
"5055",NA,NA
"5056",NA,NA
"5057",NA,NA
"5058",1.4,1.4
"5059",NA,NA
"5060",NA,NA
"5061",NA,NA
"5062",1.7,1.7
"5063",NA,NA
"5064",NA,NA
"5065",NA,NA
"5066",2.6,2.6
"5067",NA,NA
"5068",2.4,2.4
"5069",NA,NA
"5070",2.8,2.8
"5071",NA,NA
"5072",2.3,2.3
"5073",NA,NA
"5074",1.4,1.4
"5075",NA,NA
"5076",1,1
"5077",NA,NA
"5078",2,2
"5079",NA,NA
"5080",1.6,1.6
"5081",NA,NA
"5082",2.4,2.4
"5083",NA,NA
"5084",2,2
"5085",NA,NA
"5086",2,2
"5087",NA,NA
"5088",2,2
"5089",NA,NA
"5090",2,2
"5091",NA,NA
"5092",1.5,1.5
"5093",NA,NA
"5094",1.4,1.4
"5095",NA,NA
"5096",1.1,1.1
"5097",NA,NA
"5098",1.5,1.5
"5099",NA,NA
"5100",1.3,1.3
"5101",NA,NA
"5102",0.9,0.9
"5103",NA,NA
"5104",1,1
"5105",NA,NA
"5106",1.2,1.2
"5107",NA,NA
"5108",NA,NA
"5109",NA,NA
"5110",NA,NA
"5111",NA,NA
"5112",2.3,2.3
"5113",NA,NA
"5114",NA,NA
"5115",NA,NA
"5116",2.1,2.1
"5117",NA,NA
"5118",1.8,1.8
"5119",NA,NA
"5120",2,2
"5121",NA,NA
"5122",1.5,1.5
"5123",NA,NA
"5124",2,2
"5125",NA,NA
"5126",1.1,1.1
"5127",NA,NA
"5128",1.1,1.1
"5129",NA,NA
"5130",1.3,1.3
"5131",NA,NA
"5132",2.8,2.8
"5133",NA,NA
"5134",1.3,1.3
"5135",NA,NA
"5136",1.6,1.6
"5137",NA,NA
"5138",1.3,1.3
"5139",NA,NA
"5140",1.8,1.8
"5141",NA,NA
"5142",2.1,2.1
"5143",NA,NA
"5144",2.2,2.2
"5145",NA,NA
"5146",1.7,1.7
"5147",NA,NA
"5148",2.5,2.5
"5149",NA,NA
"5150",3,3
"5151",NA,NA
"5152",2.6,2.6
"5153",NA,NA
"5154",NA,NA
"5155",NA,NA
"5156",1.8,1.8
"5157",NA,NA
"5158",2.3,2.3
"5159",NA,NA
"5160",1.8,1.8
"5161",NA,NA
"5162",1.5,1.5
"5163",NA,NA
"5164",1.4,1.4
"5165",NA,NA
"5166",1.7,1.7
"5167",NA,NA
"5168",0.9,0.9
"5169",NA,NA
"5170",2.9,2.9
"5171",NA,NA
"5172",1.2,1.2
"5173",NA,NA
"5174",1.9,1.9
"5175",NA,NA
"5176",1.3,1.3
"5177",NA,NA
"5178",1.6,1.6
"5179",NA,NA
"5180",1.5,1.5
"5181",NA,NA
"5182",2,2
"5183",NA,NA
"5184",2.1,2.1
"5185",NA,NA
"5186",2.1,2.1
"5187",NA,NA
"5188",2.1,2.1
"5189",NA,NA
"5190",2.6,2.6
"5191",NA,NA
"5192",2.4,2.4
"5193",NA,NA
"5194",2.6,2.6
"5195",NA,NA
"5196",1.2,1.2
"5197",NA,NA
"5198",2.2,2.2
"5199",NA,NA
"5200",2.2,2.2
"5201",NA,NA
"5202",2.1,2.1
"5203",NA,NA
"5204",3.6,3.6
"5205",NA,NA
"5206",2,2
"5207",NA,NA
"5208",1.1,1.1
"5209",NA,NA
"5210",1,1
"5211",NA,NA
"5212",0.9,0.9
"5213",NA,NA
"5214",1.1,1.1
"5215",NA,NA
"5216",1,1
"5217",NA,NA
"5218",1.8,1.8
"5219",NA,NA
"5220",1.8,1.8
"5221",NA,NA
"5222",1.9,1.9
"5223",NA,NA
"5224",1.5,1.5
"5225",NA,NA
"5226",1.7,1.7
"5227",NA,NA
"5228",1.9,1.9
"5229",NA,NA
"5230",1.2,1.2
"5231",NA,NA
"5232",1.8,1.8
"5233",NA,NA
"5234",1.2,1.2
"5235",NA,NA
"5236",1.4,1.4
"5237",NA,NA
"5238",3.2,3.2
"5239",NA,NA
"5240",1.8,1.8
"5241",NA,NA
