"","values","value2"
"307",11.75,11.75
"308",5.3,5.3
"309",30.2,30.2
"310",7.7,7.7
"311",9.3,9.3
"312",3.7,3.7
"313",25.15,25.15
"314",9.4,9.4
"315",18.75,18.75
"316",5.3,5.3
"317",84,84
"318",5.4,5.4
"319",13.85,13.85
"320",5.4,5.4
"321",24.75,24.75
"322",8.1,8.1
"323",15.85,15.85
"324",9.1,9.1
"325",20.8,20.8
"326",15.6,15.6
"327",48,48
"328",25.2,25.2
"329",16.4,16.4
"330",10,10
"331",16.75,16.75
"332",4.9,4.9
"333",15.4,15.4
"334",13,13
"335",11.65,11.65
"336",7.1,7.1
"337",10.85,10.85
"338",3.6,3.6
"339",6.35,6.35
"340",5.6,5.6
"341",4.15,4.15
"342",6.8,6.8
"343",5.5,5.5
"344",5.8,5.8
"345",15.5,15.5
"346",6.2,6.2
"347",59.65,59.65
"348",7.9,7.9
"349",49,49
"350",6.5,6.5
"351",10.9,10.9
"352",4.8,4.8
"353",14.65,14.65
"354",7.3,7.3
"355",26.6,26.6
"356",13.9,13.9
"357",10.25,10.25
"358",6.3,6.3
"359",152.5,152.5
"360",7,7
"361",25.65,25.65
"362",9.3,9.3
"363",13,13
"364",17.6,17.6
"365",13.9,13.9
"366",15.2,15.2
"367",29.8,29.8
"368",7,7
"369",51.6,51.6
"370",6.7,6.7
"371",20.45,20.45
"372",12,12
"373",10,10
"374",9.5,9.5
"375",15.8,15.8
"376",9,9
"377",10.2,10.2
"378",8.6,8.6
"379",10.9,10.9
"380",9.2,9.2
"381",8,8
"382",7.8,7.8
"383",10.55,10.55
"384",8.3,8.3
"385",9.7,9.7
"386",9,9
"387",11.25,11.25
"388",7.6,7.6
"389",8.6,8.6
"390",7.2,7.2
"391",35,35
"392",6.8,6.8
"393",35.1,35.1
"394",7.5,7.5
"395",13.55,13.55
"396",6.5,6.5
"397",16.85,16.85
"398",7,7
"399",215.25,215.25
"400",5.9,5.9
"401",58.5,58.5
"402",5.9,5.9
"403",17.1,17.1
"404",13.2,13.2
"405",10.6,10.6
"406",3.4,3.4
"407",13.9,13.9
"408",6.9,6.9
"409",5.8,5.8
"410",16.6,16.6
"411",5,5
"412",5.7,5.7
"413",4.35,4.35
"414",7.5,7.5
"415",49.15,49.15
"416",7.8,7.8
"417",6.1,6.1
"418",8.8,8.8
"419",12.35,12.35
"420",25.8,25.8
"421",6.05,6.05
"422",7.5,7.5
"423",8.45,8.45
"424",5.7,5.7
"425",7.85,7.85
"426",3.9,3.9
"427",12.8,12.8
"428",5.9,5.9
"429",5.55,5.55
"430",4.1,4.1
"431",16.15,16.15
"432",8.2,8.2
"433",38.5,38.5
"434",5.7,5.7
"435",14.4,14.4
"436",51.5,51.5
"437",28,28
"438",10,10
"439",19.3,19.3
"440",7.6,7.6
"441",66,66
"442",6.8,6.8
"443",16,16
"444",7,7
"445",86.25,86.25
"446",11.6,11.6
"447",7.05,7.05
"448",5.1,5.1
"449",14.45,14.45
"450",6.2,6.2
"451",8.75,8.75
"452",5.5,5.5
"453",4.9,4.9
"454",6.8,6.8
"455",4.6,4.6
"456",8.2,8.2
"457",47.5,47.5
"458",6.3,6.3
"459",7.3,7.3
"460",9.4,9.4
"461",17.4,17.4
"462",11.7,11.7
"463",15.1,15.1
"464",18.9,18.9
"465",36.3,36.3
"466",28.3,28.3
"467",51,51
"468",14,14
"469",40,40
"470",13,13
"471",26,26
"472",6.1,6.1
"473",65.65,65.65
"474",13.4,13.4
"475",32.15,32.15
"476",9.3,9.3
"477",19.3,19.3
"478",6.4,6.4
"479",18.3,18.3
"480",6.3,6.3
"481",13.25,13.25
"482",10.9,10.9
"483",22.05,22.05
"484",7.5,7.5
"485",14.6,14.6
"486",6.8,6.8
"487",4.15,4.15
"488",7.9,7.9
"489",9.75,9.75
"490",9.1,9.1
"491",5.85,5.85
"492",4.8,4.8
"493",9,9
"494",6.8,6.8
"495",14.55,14.55
"496",6.5,6.5
"497",19.25,19.25
"498",4.6,4.6
"499",80,80
"500",20,20
"501",26,26
"502",10,10
"503",47.4,47.4
"504",12.7,12.7
"505",66.7,66.7
"506",9.2,9.2
"507",22.8,22.8
"508",8.7,8.7
"509",15.9,15.9
"510",6.8,6.8
"511",5.9,5.9
"512",7.2,7.2
"513",11.9,11.9
"514",7.1,7.1
"515",10.65,10.65
"516",12.6,12.6
"517",42.4,42.4
"518",6.1,6.1
"519",5.3,5.3
"520",8,8
"521",16.45,16.45
"522",8.3,8.3
"523",9.1,9.1
"524",14,14
"525",10.7,10.7
"526",5.4,5.4
"527",7.8,7.8
"528",4.8,4.8
"529",78.5,78.5
"530",3.1,3.1
"531",66,66
"532",4.3,4.3
"533",10.95,10.95
"534",8,8
"535",42.3,42.3
"536",7.6,7.6
"537",19.55,19.55
"538",5.3,5.3
"539",11.9,11.9
"540",5.4,5.4
"541",29.9,29.9
"542",8.3,8.3
"543",6.4,6.4
"544",5.4,5.4
"545",6.95,6.95
"546",6.2,6.2
"547",9,9
"548",5.9,5.9
"549",6,6
"550",4.8,4.8
"551",7.1,7.1
"552",12.2,12.2
"553",13.8,13.8
"554",6.6,6.6
"555",17.3,17.3
"556",4.6,4.6
"557",27.9,27.9
"558",3.9,3.9
"559",30,30
"560",7.4,7.4
"561",46.2,46.2
"562",10.4,10.4
"563",40.25,40.25
"564",6,6
"565",16,16
"566",6,6
"567",16.3,16.3
"568",14.6,14.6
"569",11.6,11.6
"570",10,10
"571",7.45,7.45
"572",16.4,16.4
"573",15.1,15.1
"574",9.2,9.2
"575",24.2,24.2
"576",11,11
"577",11,11
"578",8,8
"579",5.1,5.1
"580",5.2,5.2
"581",7.35,7.35
"582",15.6,15.6
"583",4.45,4.45
"584",6.6,6.6
"585",22.5,22.5
"586",9.4,9.4
"587",18.5,18.5
"588",7.8,7.8
"589",10.45,10.45
"590",4.8,4.8
"591",12.2,12.2
"592",13.6,13.6
"593",22.5,22.5
"594",6.5,6.5
"595",19.9,19.9
"596",5.1,5.1
"597",4.45,4.45
"598",4.1,4.1
"599",19.7,19.7
"600",8,8
"601",11.2,11.2
"602",11.6,11.6
"603",15.85,15.85
"604",4.9,4.9
"605",11.6,11.6
"606",10,10
"607",11.5,11.5
"608",10.8,10.8
"609",9.5,9.5
"610",6,6
"611",16.7,16.7
