"station","date","layer","secchi","salinity","do","wtemp","tss","chla_lo","chla_hi","tn_lo","tn_hi","tp_lo","tp_hi","din_lo","din_hi","po4_lo","po4_hi","tdn_lo","tdn_hi","tdp_lo","tdp_hi","nh4_lo","nh4_hi","no23_lo","no23_hi"
"CB3.3C","1985-05-21","AP",NA,10.5,6.2,18.1,6.9,7,7,0.651,0.651,0.0512,0.0512,0.28,0.28,0.003,0.003,0.52,0.52,0.036,0.036,0.104,0.104,0.176,0.176
"CB3.3C","1985-05-21","B",NA,14.4,0,15.3,7.6,3,3,0.7273,0.7273,0.031,0.031,0.372,0.372,0.0063,0.0063,0.64,0.64,0.017,0.017,0.255,0.255,0.117,0.117
"CB3.3C","1985-05-21","BP",NA,14.4,0,15.3,7.8,2,2,0.726,0.726,0.0252,0.0252,0.375,0.375,0.0042,0.0042,0.62,0.62,0.008,0.008,0.263,0.263,0.112,0.112
"CB3.3C","1985-05-21","S",1.1,10.105,7.6,18.8,7,9.5,9.5,0.768,0.768,0.0476,0.0476,0.259,0.259,0.00575,0.00575,0.54,0.54,0.0255,0.0255,0.0665,0.0665,0.1925,0.1925
"CB3.3C","1985-06-04","AP",NA,9.6,6,21.4,5,3.37,3.37,0.623,0.623,0.0231,0.0281,0.275,0.275,0.0033,0.0033,0.47,0.47,0,0.005,0.096,0.096,0.179,0.179
"CB3.3C","1985-06-04","B",NA,14.6,0,17.7,10.4,1.775,1.775,0.7275,0.7275,0.02375,0.02625,0.37,0.37,0.00895,0.00895,0.61,0.61,0.004,0.0065,0.286,0.286,0.084,0.084
"CB3.3C","1985-06-04","BP",NA,14.6,0,17.7,6.6,1.5,1.5,0.7103,0.7103,0.045,0.045,0.361,0.361,0.009,0.009,0.62,0.62,0.032,0.032,0.279,0.279,0.082,0.082
"CB3.3C","1985-06-04","S",1.5,9.5,6.7,21.5,5.8,2.99,2.99,0.738,0.738,0.0841,0.0841,0.271,0.271,0.0048,0.0048,0.5,0.5,0.064,0.064,0.077,0.077,0.194,0.194
"CB3.3C","1985-06-18","AP",NA,11.1,6.9,21.7,17.5,9.82,9.82,0.66,0.66,0.0551,0.0551,0.183,0.183,0.0035,0.0035,0.45,0.45,0.037,0.037,0.038,0.038,0.145,0.145
"CB3.3C","1985-06-18","B",NA,16.6,0.6,19.6,31.2,1.6,1.6,0.7351,0.7351,0.0277,0.0277,0.3659,0.3659,0.014,0.014,0.65,0.65,0.014,0.014,0.317,0.317,0.0489,0.0489
"CB3.3C","1985-06-18","BP",NA,15.2,1.6,19.9,21.3,2.81,2.81,0.73,0.73,0.0353,0.0353,0.352,0.352,0.0081,0.0081,0.61,0.61,0.016,0.016,0.273,0.273,0.079,0.079
"CB3.3C","1985-06-18","S",1.3,10.9,6.9,22,29.1,15.04,15.04,0.748,0.748,0.0486,0.0486,0.199,0.199,0.0057,0.0057,0.48,0.48,0.026,0.026,0.045,0.045,0.154,0.154
"CB3.3C","1985-07-09","AP",NA,12.1,6.8,24.7,12,8.34,8.34,0.556,0.556,0.0488,0.0488,0.2858,0.2858,0.0233,0.0233,0.34,0.34,0.027,0.027,0.281,0.281,0.0048,0.0048
"CB3.3C","1985-07-09","B",NA,15.7,0.1,22.3,20.8,0,1,NA,NA,0.0539,0.0539,0.3334,0.3334,0.0379,0.0379,0.59,0.59,0.04,0.04,0.332,0.332,0.0014,0.0014
"CB3.3C","1985-07-09","BP",NA,14.8,0.3,22.6,9.45,0,1,0.68895,0.68895,0.0419,0.0419,0.19515,0.19515,0.0128,0.0128,0.57,0.57,0.018,0.018,0.1895,0.1895,0.00565,0.00565
"CB3.3C","1985-07-09","S",1,11.5,7.7,25.6,12.2,NA,NA,0.714,0.714,0.0562,0.0562,0.0027,0.0057,0.0065,0.0065,0.3,0.3,0.019,0.019,0,0.003,0.0027,0.0027
"CB3.3C","1985-07-24","AP",NA,12.5,5.2,25.4,16.4,9.42,9.42,0.685,0.685,0.049,0.049,0.1274,0.1274,0.0029,0.0029,0.44,0.44,0.015,0.015,0.119,0.119,0.0084,0.0084
"CB3.3C","1985-07-24","B",NA,20.4,0,23.5,17,NA,NA,0.765,0.765,0.056,0.056,0.3756,0.3756,0.0472,0.0472,0.71,0.71,0.047,0.047,0.369,0.369,0.0066,0.0066
"CB3.3C","1985-07-24","BP",NA,19.1,0.2,24,34.6,0,1,0.6846,0.6846,0.058,0.058,0.3624,0.3624,0.0435,0.0435,0.63,0.63,0.043,0.043,0.349,0.349,0.0134,0.0134
"CB3.3C","1985-07-24","S",1,11.72,7,25.2,16.6,8.285,8.285,NA,NA,0.049,0.049,0.0909,0.0909,0.0114,0.0114,0.41,0.41,0.0145,0.0145,0.077,0.077,0.0139,0.0139
"CB3.3C","1985-08-07","AP",NA,14.1,4.1,25.7,5,4.81,4.81,0.597,0.597,0.0445,0.0445,0.17,0.17,0.0099,0.0099,0.49,0.49,0.019,0.019,0.149,0.149,0.021,0.021
"CB3.3C","1985-08-07","B",NA,17.3,0.4,25,5.4,1.4,1.4,0.82,0.82,0.0736,0.0736,0.3856,0.3856,0.0446,0.0446,0.72,0.72,0.056,0.056,0.352,0.352,0.0336,0.0336
"CB3.3C","1985-08-07","BP",NA,16.3,1.2,25.3,5.9,1.7,1.7,0.73335,0.73335,0.08155,0.08155,0.4077,0.4077,0.0354,0.0354,0.67,0.67,0.0615,0.0615,0.368,0.368,0.0397,0.0397
"CB3.3C","1985-08-07","S",1,13.1,6.9,26.4,6.6,16.31,16.31,0.717,0.717,0.0805,0.0805,0.0507,0.0507,0.0031,0.0031,0.34,0.34,0.042,0.042,0.013,0.013,0.0377,0.0377
"CB3.3C","1985-08-20","AP",NA,13.9,6.4,26.2,5,13.85,13.85,0.826,0.826,0.0759,0.0759,0.101,0.101,0.0169,0.0169,0.51,0.51,0.028,0.028,0.014,0.014,0.087,0.087
"CB3.3C","1985-08-20","B",NA,21.49,0.9,25.4,8.1,2.06,2.06,0.73405,0.73405,0.0577,0.0577,NA,NA,0.0447,0.0447,0.63,0.63,0.0395,0.0395,0.3275,0.3275,NA,NA
"CB3.3C","1985-08-20","BP",NA,19.8,0.9,25.6,4,1.68,1.68,0.699,0.699,0.0518,0.0518,0.2834,0.2834,0.038,0.038,0.62,0.62,0.034,0.034,0.237,0.237,0.0464,0.0464
"CB3.3C","1985-08-20","S",1.1,13.5,7.2,26.2,5.8,24.32,24.32,0.894,0.894,0.077,0.077,0.09,0.09,0.0143,0.0143,0.5,0.5,0.034,0.034,0.007,0.007,0.083,0.083
"CB3.3C","1985-09-10","AP",NA,13.9,6.1,26.9,16.9,0,1,0.4939,0.4939,0.0478,0.0478,0.094,0.094,0.0046,0.0046,0.41,0.41,0.014,0.014,0.007,0.007,0.087,0.087
"CB3.3C","1985-09-10","B",NA,20.91,0.1,25.2,23.35,0.535,1.035,0.7087,0.7087,0.1261,0.1261,0.3154,0.3154,0.09955,0.09955,0.61,0.61,0.111,0.111,0.3055,0.3055,0.0099,0.0099
"CB3.3C","1985-09-10","BP",NA,19.9,0.1,25.3,20.2,1.6,1.6,0.6229,0.6229,0.0887,0.0887,0.256,0.256,0.0677,0.0677,0.53,0.53,0.066,0.066,0.159,0.159,0.097,0.097
"CB3.3C","1985-09-10","S",1,13.7,7.4,27,16.2,6.68,6.68,0.659,0.659,0.049,0.049,0.093,0.093,0.0052,0.0052,0.39,0.39,0.013,0.013,0.014,0.014,0.079,0.079
"CB3.3C","1985-09-24","AP",NA,16.5,5.9,23.1,4.2,4.79,4.79,0.61,0.61,0.0319,0.0319,0.1526,0.1526,0.0105,0.0105,0.5,0.5,0.016,0.016,0.079,0.079,0.0736,0.0736
"CB3.3C","1985-09-24","B",NA,19.68,0.6,24,27.3,2.695,2.695,0.8845,0.8845,0.0716,0.0716,0.31875,0.31875,0.0183,0.0183,0.62,0.62,0.023,0.023,0.234,0.234,0.08475,0.08475
"CB3.3C","1985-09-24","BP",NA,18.9,2,23.7,4.9,1.35,1.35,0.702,0.702,0.0796,0.0796,0.268,0.268,0.014,0.014,0.6,0.6,0.064,0.064,0.183,0.183,0.085,0.085
"CB3.3C","1985-09-24","S",0.8,15.8,8.8,23,4.8,14.67,14.67,0.783,0.783,0.0871,0.0871,0.0977,0.0977,0.0129,0.0129,0.46,0.46,0.054,0.054,0.044,0.044,0.0537,0.0537
"CB3.3C","1985-10-08","AP",NA,13.2,12,19.3,7.6,33.23,33.23,0.842,0.842,0.0445,0.0445,0.081,0.081,0.0047,0.0047,0.42,0.42,0.017,0.017,0.006,0.006,0.075,0.075
"CB3.3C","1985-10-08","B",NA,20.91,1.5,22.3,12.45,1.125,1.125,0.7255,0.7255,0.0438,0.0438,0.311,0.311,0.02385,0.02385,0.605,0.605,0.025,0.025,0.259,0.259,0.052,0.052
"CB3.3C","1985-10-08","BP",NA,19.1,3.1,21.6,4.7,1.2,1.2,0.6768,0.6768,0.0455,0.0455,0.266,0.266,0.0207,0.0207,0.62,0.62,0.039,0.039,0.175,0.175,0.091,0.091
"CB3.3C","1985-10-08","S",1.5,13.2,12.9,19.4,7.5,26.2,26.2,0.822,0.822,0.0369,0.0369,0.09,0.09,0.0034,0.0034,0.43,0.43,0.011,0.011,0.017,0.017,0.073,0.073
"CB3.3C","1985-10-22","AP",NA,17.5,5.9,19,4,2.06,2.06,0.698,0.698,0.0225,0.0225,0.212,0.212,0.0058,0.0058,0.56,0.56,0.01,0.01,0.114,0.114,0.098,0.098
"CB3.3C","1985-10-22","B",NA,19,3,20.1,15.9,0.535,1.035,0.6925,0.6925,0.03395,0.03395,0.2805,0.2805,0.01335,0.01335,0.545,0.545,0.0115,0.0115,0.218,0.218,0.0625,0.0625
"CB3.3C","1985-10-22","BP",NA,18.7,3.7,19.8,10.1,1.5,1.5,0.617,0.617,0.0253,0.0253,0.253,0.253,0.0112,0.0112,0.51,0.51,0.009,0.009,0.192,0.192,0.061,0.061
"CB3.3C","1985-10-22","S",1.8,17.1,6.8,18.8,5.6,5.43,5.43,0.601,0.601,0.0202,0.0202,0.195,0.195,0.0048,0.0048,0.47,0.47,0.006,0.006,0.097,0.097,0.098,0.098
"CB3.3C","1985-11-13","AP",NA,15,8.8,14.6,14.4,5.39,5.39,0.771,0.771,0.0787,0.0787,0.335,0.335,0.0065,0.0065,0.63,0.63,0.061,0.061,0.117,0.117,0.218,0.218
"CB3.3C","1985-11-13","B",NA,17.19,6.7,15.3,70.5,3.44,3.44,0.961,0.961,0.091,0.091,0.325,0.325,0.01515,0.01515,0.57,0.57,0.015,0.015,0.168,0.168,0.157,0.157
"CB3.3C","1985-11-13","BP",NA,16.7,7.2,15.1,20.2,3.29,3.29,0.76,0.76,0.1224,0.1224,0.328,0.328,0.0129,0.0129,0.63,0.63,0.103,0.103,0.169,0.169,0.159,0.159
"CB3.3C","1985-11-13","S",1.4,14.3,10.6,15.1,12.5,15.72,15.72,0.968,0.968,0.0484,0.0484,0.399,0.399,0.0106,0.0106,0.7,0.7,0.024,0.024,0.124,0.124,0.275,0.275
"CB3.3C","1985-12-10","AP",NA,13.8,10.9,9.6,6.6,NA,NA,0.9429,0.9429,0.0316,0.0316,0.64,0.64,0.0162,0.0162,0.89,0.89,0.022,0.022,0.15,0.15,0.49,0.49
"CB3.3C","1985-12-10","B",NA,18.9,7.1,13,60.8,2.12,2.12,0.934,0.934,0.1032,0.1032,0.3655,0.3655,0.01935,0.01935,0.65,0.65,0.0365,0.0365,0.1605,0.1605,0.205,0.205
"CB3.3C","1985-12-10","BP",NA,15.9,8,11.1,6.9,1.2,1.2,0.8108,0.8108,0.0457,0.0457,0.524,0.524,0.0151,0.0151,0.77,0.77,0.038,0.038,0.144,0.144,0.38,0.38
"CB3.3C","1985-12-10","S",1.5,8.2,12.2,7.5,4.8,4.49,4.49,1.2472,1.2472,0.0366,0.0366,0.91,0.91,0.0159,0.0159,1.15,1.15,0.021,0.021,0.14,0.14,0.77,0.77
"CB3.3C","1986-01-07","AP",NA,11.1,13.2,2.9,8.2,5.35,5.35,1.197,1.197,0.0255,0.0255,0.693,0.693,0.002,0.002,1.05,1.05,0.011,0.011,0.053,0.053,0.64,0.64
"CB3.3C","1986-01-07","B",NA,15.5,9,4.5,48.35,3.93,3.93,1.0345,1.0345,0.0609,0.0609,0.4325,0.4325,0.00505,0.00505,0.74,0.74,0.0085,0.0085,0.0625,0.0625,0.37,0.37
"CB3.3C","1986-01-07","BP",NA,14.5,10.7,4.2,13.1,4.7,4.7,1.014,1.014,0.0345,0.0345,0.488,0.488,0.002,0.002,0.87,0.87,0.015,0.015,0.048,0.048,0.44,0.44
"CB3.3C","1986-01-07","S",1.8,11.1,13.2,2.9,6.5,4.68,4.68,1.177,1.177,0.0296,0.0296,0.684,0.684,0.0021,0.0021,1.05,1.05,0.011,0.011,0.054,0.054,0.63,0.63
"CB3.3C","1986-02-13","AP",NA,7.9,11.4,0.2,8.2,8.47,8.47,1.615,1.615,0.038,0.038,0.987,0.987,0.0032,0.0032,1.42,1.42,0.013,0.013,0.107,0.107,0.88,0.88
"CB3.3C","1986-02-13","B",NA,17.8,9.7,2.3,22.15,18.315,18.315,1.141,1.141,0.05065,0.05065,0.261,0.261,0.0038,0.0038,0.775,0.775,0.015,0.015,0.051,0.051,0.21,0.21
"CB3.3C","1986-02-13","BP",NA,15.3,10.4,1.8,5.8,12.46,12.46,0.934,0.934,0.0233,0.0233,0.342,0.342,0.0026,0.0026,0.7,0.7,0.011,0.011,0.042,0.042,0.3,0.3
"CB3.3C","1986-02-13","S",1,7.9,12.3,0.2,5.8,8.72,8.72,1.388,1.388,0.0305,0.0305,0.965,0.965,0.0023,0.0023,1.27,1.27,0.01,0.01,0.095,0.095,0.87,0.87
"CB3.3C","1986-03-11","AP",NA,11.8,11.2,3.5,6.4,7.03,7.03,1.3,1.3,0.0314,0.0314,0.797,0.797,0.0039,0.0039,1.1,1.1,0.008,0.008,0.067,0.067,0.73,0.73
"CB3.3C","1986-03-11","B",NA,13.595,9.8,2.8,6.15,8.075,8.075,1.258,1.258,0.03285,0.03285,0.809,0.809,0.0043,0.0043,1.065,1.065,0.0105,0.0105,0.069,0.069,0.74,0.74
"CB3.3C","1986-03-11","BP",NA,12.3,10.9,3.2,6.5,7.63,7.63,1.312,1.312,0.0335,0.0335,0.797,0.797,0.0024,0.0024,1.1,1.1,0.009,0.009,0.067,0.067,0.73,0.73
"CB3.3C","1986-03-11","S",1.4,11.7,11.9,3.9,7.2,7.78,7.78,1.327,1.327,0.0294,0.0294,0.791,0.791,0.0024,0.0024,1.14,1.14,0.008,0.008,0.081,0.081,0.71,0.71
"CB3.3C","1986-03-25","AP",NA,6.4,10.6,6.9,4,4.78,4.78,1.184,1.184,0.0325,0.0325,0.845,0.845,0.0034,0.0034,1.03,1.03,0.01,0.01,0.145,0.145,0.7,0.7
"CB3.3C","1986-03-25","B",NA,14.885,8.5,4.3,90.8,22.725,22.725,1.54,1.54,0.143,0.143,0.614,0.614,0.00425,0.00425,0.86,0.86,0.01,0.01,0.15,0.15,0.464,0.464
"CB3.3C","1986-03-25","BP",NA,12.2,9.1,5,10.2,7.78,7.78,1.078,1.078,0.0263,0.0263,0.736,0.736,0.0029,0.0029,0.9,0.9,0.005,0.005,0.136,0.136,0.6,0.6
"CB3.3C","1986-03-25","S",0.3,2.6,12.4,7.8,20.3,2.35,2.35,1.501,1.501,0.0588,0.0588,1.162,1.162,0.0069,0.0069,1.35,1.35,0.016,0.016,0.132,0.132,1.03,1.03
"CB3.3C","1986-04-08","AP",NA,5.3,10.3,11.5,6.1,9.87,9.87,1.35,1.35,0.0157,0.0207,1.014,1.014,0.0022,0.0022,1.21,1.21,0,0.005,0.064,0.064,0.95,0.95
"CB3.3C","1986-04-08","B",NA,15.085,6.8,6,85.2,25.42,25.42,1.474,1.474,0.1116,0.1166,0.524,0.524,0.00305,0.00305,0.81,0.81,0,0.005,0.1255,0.1255,0.3985,0.3985
"CB3.3C","1986-04-08","BP",NA,13.5,7,6.5,11,12.86,12.86,1.096,1.096,0.0227,0.0277,0.626,0.626,0.0025,0.0025,0.9,0.9,0,0.005,0.126,0.126,0.5,0.5
"CB3.3C","1986-04-08","S",1.1,5.1,10.9,12.7,6.4,11.96,11.96,1.426,1.426,0.0297,0.0297,1.029,1.029,0.0025,0.0025,1.23,1.23,0.007,0.007,0.049,0.049,0.98,0.98
"CB3.3C","1986-04-22","AP",NA,3.9,11.1,11.7,5.8,18.84,18.84,1.407,1.407,0.0299,0.0299,0.954,0.954,0.0026,0.0026,1.17,1.17,0.008,0.008,0.024,0.024,0.93,0.93
"CB3.3C","1986-04-22","B",NA,17.915,3.5,8.6,15.8,11.96,11.96,0.9315,0.9315,0.0303,0.0353,0.4385,0.4385,0.0041,0.0041,0.69,0.69,0,0.005,0.194,0.194,0.2445,0.2445
"CB3.3C","1986-04-22","BP",NA,13.6,5.5,9,7.8,22.13,22.13,1.153,1.153,0.025,0.03,0.615,0.615,0.0033,0.0033,0.89,0.89,0,0.005,0.142,0.142,0.473,0.473
"CB3.3C","1986-04-22","S",1.1,3.9,11.6,11.6,6.6,21.98,21.98,1.445,1.445,0.0356,0.0356,1.065,1.065,0.0027,0.0027,1.17,1.17,0.01,0.01,0.035,0.035,1.03,1.03
"CB3.3C","1986-05-13","AP",NA,10,10.9,15.5,8.5,19.27,19.27,0.983,0.983,0.0142,0.0192,0.55,0.55,0,0.0016,0.75,0.75,0,0.005,0.03,0.03,0.52,0.52
"CB3.3C","1986-05-13","B",NA,15.725,1.4,12,16.85,38.045,38.045,1.2675,1.2675,0.0308,0.0333,0.433,0.433,0.0029,0.0029,0.835,0.835,0.0035,0.006,0.138,0.138,0.295,0.295
"CB3.3C","1986-05-13","BP",NA,14.1,3.2,12.8,13.2,33.73,33.73,1.157,1.157,0.0234,0.0284,0.455,0.455,0.0026,0.0026,0.78,0.78,0,0.005,0.085,0.085,0.37,0.37
"CB3.3C","1986-05-13","S",1,9.7,12.3,16.8,11.4,29.16,29.16,1.173,1.173,0.0206,0.0256,0.553,0.553,0.004,0.004,0.84,0.84,0,0.005,0.023,0.023,0.53,0.53
"CB3.3C","1986-05-27","AP",NA,8.9,7.9,19.9,7.2,25.29,25.29,0.707,0.707,0.0255,0.0255,0.27,0.27,0.0028,0.0028,0.42,0.42,0.006,0.006,0.011,0.011,0.259,0.259
"CB3.3C","1986-05-27","B",NA,18.205,0.4,14.8,11.15,17.135,17.135,0.706,0.706,0.02595,0.03095,0.249,0.249,0.00295,0.00295,0.455,0.455,0,0.005,0.094,0.094,0.155,0.155
"CB3.3C","1986-05-27","BP",NA,14.8,1.4,16.1,8.5,28.41,28.41,0.965,0.965,0.0491,0.0491,0.312,0.312,0.0033,0.0033,0.6,0.6,0.019,0.019,0.073,0.073,0.239,0.239
"CB3.3C","1986-05-27","S",1,8.4,8.9,20.3,6.8,22.18,22.18,0.771,0.771,0.05,0.05,0.271,0.271,0.0026,0.0026,0.51,0.51,0.023,0.023,0.012,0.012,0.259,0.259
"CB3.3C","1986-06-10","AP",NA,11.8,3.7,20.8,4,2.78,2.78,0.677,0.677,0.0185,0.0185,0.355,0.355,0.0038,0.0038,0.58,0.58,0.008,0.008,0.195,0.195,0.16,0.16
"CB3.3C","1986-06-10","B",NA,17.795,0.4,16.8,4,0,1,0.75035,0.75035,0.02295,0.02295,0.3665,0.3665,0.0089,0.0089,0.695,0.695,0.015,0.015,0.265,0.265,0.1015,0.1015
"CB3.3C","1986-06-10","BP",NA,17.1,0.8,17.3,4,0,1,0.8189,0.8189,0.0187,0.0187,0.387,0.387,0.0075,0.0075,0.76,0.76,0.011,0.011,0.269,0.269,0.118,0.118
"CB3.3C","1986-06-10","S",1.4,8.2,8.3,25.4,4.4,13.61,13.61,0.909,0.909,0.046,0.046,0.247,0.247,0.0042,0.0042,0.63,0.63,0.018,0.018,0.04,0.04,0.207,0.207
"CB3.3C","1986-06-24","AP",NA,9.3,6.2,23.5,6.9,7.03,7.03,0.712,0.712,0.0299,0.0299,0.273,0.273,0.0031,0.0031,0.51,0.51,0.007,0.007,0.148,0.148,0.125,0.125
"CB3.3C","1986-06-24","B",NA,16.01,0.4,19.7,10.25,1.79,1.79,0.7645,0.7645,0.0361,0.0361,0.4115,0.4115,0.0127,0.0127,0.635,0.635,0.015,0.015,0.363,0.363,0.0485,0.0485
"CB3.3C","1986-06-24","BP",NA,15.3,0.8,20,8,1.5,1.5,0.727,0.727,0.0331,0.0331,0.457,0.457,0.0111,0.0111,0.61,0.61,0.015,0.015,0.406,0.406,0.051,0.051
"CB3.3C","1986-06-24","S",0.8,8.4,9,24.5,7.1,12.71,12.71,0.726,0.726,0.0401,0.0401,0.331,0.331,0.0048,0.0048,0.42,0.42,0.011,0.011,0.182,0.182,0.149,0.149
"CB3.3C","1986-07-16","AP",NA,11,6.1,25.4,4,9.57,9.57,0.582,0.582,0.028,0.028,0.0423,0.0423,0.0035,0.0035,0.35,0.35,0.01,0.01,0.029,0.029,0.0133,0.0133
"CB3.3C","1986-07-16","B",NA,19.68,0.1,23.5,7.55,0.5,1,0.6299,0.6299,0.04695,0.04695,0.23355,0.23355,0.0366,0.0366,0.54,0.54,0.0365,0.0365,0.2305,0.2305,0.00305,0.00305
"CB3.3C","1986-07-16","BP",NA,18.3,0.1,23.2,4,0,1,0.6691,0.6691,0.0497,0.0497,NA,NA,0.0462,0.0462,0.59,0.59,0.043,0.043,0.283,0.283,NA,NA
"CB3.3C","1986-07-16","S",1,10.7,8.6,25.7,5.5,18.69,18.69,0.714,0.714,0.0535,0.0535,0.0368,0.0368,0.0059,0.0059,0.34,0.34,0.028,0.028,0.023,0.023,0.0138,0.0138
"CB3.3C","1986-07-29","AP",NA,14.1,1.5,26.4,5,1.94,1.94,0.667,0.667,0.0342,0.0342,0.1371,0.1371,0.0129,0.0129,0.53,0.53,0.018,0.018,0.135,0.135,0.0021,0.0021
"CB3.3C","1986-07-29","B",NA,19.715,0.1,24.3,4.3,1.05,1.05,0.75015,0.75015,0.08585,0.08585,0.2746,0.2746,0.06675,0.06675,0.685,0.685,0.0765,0.0765,0.2695,0.2695,0.0051,0.0051
"CB3.3C","1986-07-29","BP",NA,18.5,0.1,24.7,4,0,1,0.6976,0.6976,0.0613,0.0613,0.2317,0.2317,0.0376,0.0376,0.6,0.6,0.044,0.044,0.227,0.227,0.0047,0.0047
"CB3.3C","1986-07-29","S",0.8,11,11,28.4,10,37.38,37.38,1.091,1.091,0.0743,0.0743,0.0141,0.0141,0.0059,0.0059,0.49,0.49,0.02,0.02,0.013,0.013,0.0011,0.0011
"CB3.3C","1986-08-12","AP",NA,11.7,5,26.2,6.6,12.56,12.56,0.639,0.639,0.0466,0.0466,0.0501,0.0501,0.0055,0.0055,0.35,0.35,0.014,0.014,0.045,0.045,0.0051,0.0051
"CB3.3C","1986-08-12","B",NA,20.79,0.1,24.7,5.6,1.35,1.35,0.7785,0.7785,0.1181,0.1181,0.3947,0.3947,0.1112,0.1112,0.72,0.72,0.112,0.112,0.3895,0.3895,0.0052,0.0052
"CB3.3C","1986-08-12","BP",NA,19.9,0.1,25,4.1,1.05,1.05,0.6387,0.6387,0.095,0.095,0.2537,0.2537,0.0813,0.0813,0.56,0.56,0.084,0.084,0.25,0.25,0.0037,0.0037
"CB3.3C","1986-08-12","S",0.8,11.2,7.3,26.3,8,32.3,32.3,0.935,0.935,0.072,0.072,0.0214,0.0214,0.006,0.006,0.39,0.39,0.021,0.021,0.018,0.018,0.0034,0.0034
"CB3.3C","1986-08-26","AP",NA,12.3,6.5,24,5.1,8.47,8.47,0.626,0.626,0.0474,0.0474,0.1496,0.1496,0.0231,0.0231,0.45,0.45,0.022,0.022,0.088,0.088,0.0616,0.0616
"CB3.3C","1986-08-26","B",NA,19.105,0.1,25.6,4,0,1,0.75445,0.75445,0.1103,0.1103,0.36675,0.36675,0.0901,0.0901,0.68,0.68,0.0965,0.0965,0.3635,0.3635,0.00325,0.00325
"CB3.3C","1986-08-26","BP",NA,17.7,0.5,25.4,5.2,1,1,0.702,0.702,0.0791,0.0791,0.2908,0.2908,0.0549,0.0549,0.58,0.58,0.06,0.06,0.279,0.279,0.0118,0.0118
"CB3.3C","1986-08-26","S",0.8,11.7,11.4,25.7,8,17.07,17.07,0.686,0.686,0.0571,0.0571,0.0869,0.0869,0.0104,0.0104,0.35,0.35,0.02,0.02,0.042,0.042,0.0449,0.0449
"CB3.3C","1986-09-09","AP",NA,11,11,23.6,8.2,21.18,21.18,0.883,0.883,0.0563,0.0563,0.0199,0.0199,0.0041,0.0041,0.46,0.46,0.015,0.015,0.004,0.004,0.0159,0.0159
"CB3.3C","1986-09-09","B",NA,19.22,0.4,24.5,8.45,1.26,1.26,0.76345,0.76345,0.04705,0.04705,0.2941,0.2941,0.02445,0.02445,0.675,0.675,0.0295,0.0295,0.231,0.231,0.0631,0.0631
"CB3.3C","1986-09-09","BP",NA,16.9,1,24.2,4,1.27,1.27,0.7064,0.7064,0.0414,0.0414,0.291,0.291,0.0272,0.0272,0.63,0.63,0.03,0.03,0.174,0.174,0.117,0.117
"CB3.3C","1986-09-09","S",0.7,11,11,23.6,8.5,19.59,19.59,0.881,0.881,0.0615,0.0615,0.0167,0.0167,0.0052,0.0052,0.42,0.42,0.017,0.017,0.004,0.004,0.0127,0.0127
"CB3.3C","1986-09-23","AP",NA,15,7.3,22.2,6,13.61,13.61,0.736,0.736,0.0409,0.0409,0.108,0.108,0.0089,0.0089,0.46,0.46,0.015,0.015,0.005,0.005,0.103,0.103
"CB3.3C","1986-09-23","B",NA,16.9,2.2,22.4,16.4,2.615,2.615,0.7415,0.7415,0.04685,0.04685,0.2795,0.2795,0.0187,0.0187,0.595,0.595,0.0195,0.0195,0.0935,0.0935,0.186,0.186
"CB3.3C","1986-09-23","BP",NA,16.2,4.3,22.1,7.6,4.04,4.04,0.667,0.667,0.039,0.039,0.232,0.232,0.0156,0.0156,0.55,0.55,0.021,0.021,0.057,0.057,0.175,0.175
"CB3.3C","1986-09-23","S",1.2,14.7,8.3,22.4,5.7,20.04,20.04,0.765,0.765,0.0474,0.0474,0.093,0.093,0.0079,0.0079,0.42,0.42,0.015,0.015,0.009,0.009,0.084,0.084
"CB3.3C","1986-10-07","AP",NA,14.9,5,21.2,5.4,6.62,6.62,0.519,0.519,0.057,0.057,0.222,0.222,0.0251,0.0251,-0.009,0.199,0.035,0.035,0.023,0.023,0.199,0.199
"CB3.3C","1986-10-07","B",NA,20.705,0.9,22.3,20,0.625,1.125,0.5652,0.5652,0.0575,0.0575,0.3057,0.3057,0.02345,0.02345,0.24,0.24,0.029,0.029,0.2305,0.2305,0.0752,0.0752
"CB3.3C","1986-10-07","BP",NA,18.8,0.9,22.4,6.1,3.31,3.31,0.539,0.539,0.047,0.047,0.297,0.297,0.027,0.027,0.041,0.199,0.035,0.035,0.128,0.128,0.169,0.169
"CB3.3C","1986-10-07","S",1.5,13.5,6.2,20.6,7,7.35,7.35,0.4432,0.4432,0.055,0.055,0.1142,0.1142,0.015,0.015,0.167,0.199,0.025,0.025,0.021,0.021,0.0932,0.0932
"CB3.3C","1986-10-28","AP",NA,13.7,8.3,16.6,4.7,7.73,7.73,0.542,0.542,0.039,0.039,0.178,0.178,0.004,0.004,0.118,0.199,0.014,0.014,0.036,0.036,0.142,0.142
"CB3.3C","1986-10-28","B",NA,21.1,4.1,18.9,73.85,1.31,1.81,0.7664,0.7664,0.121,0.121,0.2724,0.2724,0.02615,0.02615,0.3485,0.3485,0.0335,0.0335,0.221,0.221,0.0514,0.0514
"CB3.3C","1986-10-28","BP",NA,20,4.2,18.9,7.8,0,1,0.5642,0.5642,0.047,0.047,0.2622,0.2622,0.022,0.022,0.326,0.326,0.031,0.031,0.198,0.198,0.0642,0.0642
