"","values","value2"
"307",4.2,4.2
"308",6.5,6.5
"309",4.8,4.8
"310",10,10
"311",3.4,3.4
"312",7.8,7.8
"313",5.2,5.2
"314",10.7,10.7
"315",6,6
"316",11,11
"317",9.3,9.3
"318",11.9,11.9
"319",9.2,9.2
"320",11.6,11.6
"321",8.8,8.8
"322",11.9,11.9
"323",9.3,9.3
"324",13.1,13.1
"325",6.8,6.8
"326",10.4,10.4
"327",4.8,4.8
"328",10,10
"329",1.7,1.7
"330",12.3,12.3
"331",0.1,0.1
"332",9.6,9.6
"333",0.2,0.2
"334",9.1,9.1
"335",0.2,0.2
"336",6.5,6.5
"337",0.1,0.1
"338",9.6,9.6
"339",0,0
"340",7,7
"341",0,0
"342",9.6,9.6
"343",0.1,0.1
"344",7.4,7.4
"345",1.1,1.1
"346",6.9,6.9
"347",2.3,2.3
"348",9.3,9.3
"349",2.4,2.4
"350",8.4,8.4
"351",3.9,3.9
"352",8.7,8.7
"353",5.3,5.3
"354",11.8,11.8
"355",7.5,7.5
"356",10.3,10.3
"357",7.6,7.6
"358",13,13
"359",9.8,9.8
"360",15.3,15.3
"361",7.5,7.5
"362",14.2,14.2
"363",5.2,5.2
"364",12.1,12.1
"365",2.4,2.4
"366",10.1,10.1
"367",1.3,1.3
"368",8.1,8.1
"369",1.6,1.6
"370",10,10
"371",0.4,0.4
"372",8.4,8.4
"373",1.1,1.1
"374",10,10
"375",0.1,0.1
"376",8.4,8.4
"377",0.1,0.1
"378",8.7,8.7
"379",0.1,0.1
"380",7.1,7.1
"381",0.2,0.2
"382",11.8,11.8
"383",0,0
"384",10.3,10.3
"385",0.2,0.2
"386",8.4,8.4
"387",1.4,1.4
"388",7.3,7.3
"389",3.6,3.6
"390",9.5,9.5
"391",3.9,3.9
"392",11.8,11.8
"393",7.1,7.1
"394",11.2,11.2
"395",7.5,7.5
"396",11.9,11.9
"397",9.4,9.4
"398",12.8,12.8
"399",9.3,9.3
"400",14.1,14.1
"401",8.1,8.1
"402",11.3,11.3
"403",5,5
"404",11.4,11.4
"405",3.1,3.1
"406",10.6,10.6
"407",3.4,3.4
"408",13.7,13.7
"409",1.6,1.6
"410",11.7,11.7
"411",0.3,0.3
"412",6.6,6.6
"413",0.6,0.6
"414",13.1,13.1
"415",0.1,0.1
"416",9.3,9.3
"417",0,0
"418",10.1,10.1
"419",0.1,0.1
"420",8.9,8.9
"421",0.2,0.2
"422",9.9,9.9
"423",0.1,0.1
"424",6.7,6.7
"425",0.1,0.1
"426",7.7,7.7
"427",2.8,2.8
"428",12.2,12.2
"429",1.6,1.6
"430",8.4,8.4
"431",8.1,8.1
"432",10.5,10.5
"433",7.4,7.4
"434",12,12
"435",10.5,10.5
"436",13.3,13.3
"437",10.8,10.8
"438",12.8,12.8
"439",7.3,7.3
"440",14.2,14.2
"441",2.6,2.6
"442",11.7,11.7
"443",0.3,0.3
"444",10.4,10.4
"445",2.8,2.8
"446",9.5,9.5
"447",0.1,0.1
"448",8.5,8.5
"449",0.1,0.1
"450",8.1,8.1
"451",0.1,0.1
"452",8.7,8.7
"453",0.1,0.1
"454",8.2,8.2
"455",0.1,0.1
"456",11,11
"457",0,0
"458",8.9,8.9
"459",0.2,0.2
"460",10.2,10.2
"461",6.7,6.7
"462",9.9,9.9
"463",5.2,5.2
"464",10.4,10.4
"465",6.2,6.2
"466",11.6,11.6
"467",NA,NA
"468",NA,NA
"469",NA,NA
"470",NA,NA
"471",4.7,4.7
"472",11.4,11.4
"473",8.6,8.6
"474",11,11
"475",3.8,3.8
"476",9.9,9.9
"477",1,1
"478",9.8,9.8
"479",1.6,1.6
"480",9.3,9.3
"481",0.8,0.8
"482",13.9,13.9
"483",0.2,0.2
"484",8.9,8.9
"485",0.4,0.4
"486",9,9
"487",0.1,0.1
"488",8.1,8.1
"489",0.1,0.1
"490",9.7,9.7
"491",0.1,0.1
"492",6.9,6.9
"493",1,1
"494",6.9,6.9
"495",6.4,6.4
"496",10.7,10.7
"497",5.7,5.7
"498",10.6,10.6
"499",NA,NA
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",4.5,4.5
"504",11,11
"505",4.3,4.3
"506",9.5,9.5
"507",1.4,1.4
"508",9.8,9.8
"509",0.4,0.4
"510",10.9,10.9
"511",0.1,0.1
"512",10.7,10.7
"513",0.2,0.2
"514",6.8,6.8
"515",0.1,0.1
"516",10.9,10.9
"517",0.1,0.1
"518",11.2,11.2
"519",0.2,0.2
"520",10.7,10.7
"521",0.2,0.2
"522",8.8,8.8
"523",0.1,0.1
"524",11.4,11.4
"525",5.4,5.4
"526",7.4,7.4
"527",7.4,7.4
"528",9.5,9.5
"529",6.2,6.2
"530",9.2,9.2
"531",10.1,10.1
"532",11.2,11.2
"533",8,8
"534",13.3,13.3
"535",10,10
"536",13.7,13.7
"537",5,5
"538",11.3,11.3
"539",1.7,1.7
"540",11.5,11.5
"541",0.4,0.4
"542",9.9,9.9
"543",0.4,0.4
"544",9.1,9.1
"545",0.2,0.2
"546",9.9,9.9
"547",0.1,0.1
"548",7.4,7.4
"549",0.1,0.1
"550",7.8,7.8
"551",0.9,0.9
"552",7.7,7.7
"553",2.9,2.9
"554",7.8,7.8
"555",4.4,4.4
"556",7.5,7.5
"557",4,4
"558",8.6,8.6
"559",6.4,6.4
"560",10.1,10.1
"561",8.9,8.9
"562",12.7,12.7
"563",9.6,9.6
"564",12.8,12.8
"565",5.6,5.6
"566",11.4,11.4
"567",3.1,3.1
"568",10,10
"569",1.8,1.8
"570",11.3,11.3
"571",0.1,0.1
"572",14.3,14.3
"573",0.1,0.1
"574",8.2,8.2
"575",0.1,0.1
"576",8.3,8.3
"577",0.1,0.1
"578",8.4,8.4
"579",0.1,0.1
"580",8.2,8.2
"581",0.1,0.1
"582",14.7,14.7
"583",0.2,0.2
"584",11,11
"585",0.3,0.3
"586",8.9,8.9
"587",3.5,3.5
"588",9.9,9.9
"589",5.6,5.6
"590",8.2,8.2
"591",8.8,8.8
"592",10.5,10.5
"593",10.1,10.1
"594",13.4,13.4
"595",7.8,7.8
"596",12.5,12.5
"597",8.5,8.5
"598",11.8,11.8
"599",6,6
"600",11.8,11.8
"601",5.4,5.4
"602",8.7,8.7
"603",2.9,2.9
"604",10,10
"605",0.1,0.1
"606",11.4,11.4
"607",0.2,0.2
"608",10.8,10.8
"609",0.2,0.2
"610",9.3,9.3
"611",0.2,0.2
"612",8.3,8.3
"613",0.1,0.1
"614",11.3,11.3
"615",0.2,0.2
"616",10.9,10.9
"617",0.1,0.1
"618",7.5,7.5
"619",5.4,5.4
"620",8,8
"621",6.8,6.8
"622",10.6,10.6
"623",4.9,4.9
"624",9,9
"625",8.9,8.9
"626",11.1,11.1
"627",8.1,8.1
"628",11.4,11.4
"629",7,7
"630",11.7,11.7
"631",6.5,6.5
"632",10.5,10.5
"633",5.8,5.8
"634",11.3,11.3
"635",2.1,2.1
"636",9.9,9.9
"637",1.5,1.5
"638",8.6,8.6
"639",0.4,0.4
"640",11.2,11.2
"641",0.2,0.2
"642",9.4,9.4
"643",0.3,0.3
"644",10,10
"645",0.6,0.6
"646",8.5,8.5
"647",0.2,0.2
"648",8.4,8.4
"649",2.7,2.7
"650",8.4,8.4
"651",6.1,6.1
"652",7.9,7.9
"653",7.6,7.6
"654",9.8,9.8
"655",9.5,9.5
"656",11.3,11.3
"657",6.8,6.8
"658",12.9,12.9
"659",9.9,9.9
"660",13.5,13.5
"661",8.6,8.6
"662",14.1,14.1
"663",4.8,4.8
"664",10,10
"665",5.3,5.3
"666",10.8,10.8
"667",1.1,1.1
"668",9,9
"669",0.7,0.7
"670",9.9,9.9
"671",0.6,0.6
"672",8.2,8.2
"673",0.2,0.2
"674",9.7,9.7
"675",0.4,0.4
"676",6.9,6.9
"677",0.4,0.4
"678",8,8
"679",0.3,0.3
"680",13.4,13.4
"681",0.4,0.4
"682",7.7,7.7
"683",4.9,4.9
"684",6.8,6.8
"685",1.7,1.7
"686",8.1,8.1
"687",3,3
"688",9.8,9.8
"689",8.3,8.3
"690",12.1,12.1
"691",6.7,6.7
"692",12.7,12.7
"693",7.6,7.6
"694",13.3,13.3
"695",5.5,5.5
"696",11.5,11.5
"697",4.9,4.9
"698",10.2,10.2
"699",3.8,3.8
"700",9.3,9.3
"701",2.4,2.4
"702",14.2,14.2
"703",0.3,0.3
"704",9.7,9.7
"705",0.5,0.5
"706",10.1,10.1
"707",0.2,0.2
"708",7.7,7.7
"709",0.3,0.3
"710",8.6,8.6
"711",0.1,0.1
"712",9.2,9.2
"713",0.1,0.1
"714",11.3,11.3
"715",0.3,0.3
"716",12.2,12.2
"717",2.1,2.1
"718",8.7,8.7
"719",1.1,1.1
"720",6.9,6.9
"721",3.4,3.4
"722",9.4,9.4
"723",5.6,5.6
"724",11.3,11.3
"725",8.8,8.8
"726",11.4,11.4
"727",10.3,10.3
"728",14.3,14.3
"729",6.5,6.5
"730",13.7,13.7
"731",4.1,4.1
"732",11.2,11.2
"733",1.3,1.3
"734",9.9,9.9
"735",2.2,2.2
"736",9.8,9.8
"737",1.2,1.2
"738",9.2,9.2
"739",0.7,0.7
"740",7.2,7.2
"741",0.2,0.2
"742",6.5,6.5
"743",0.2,0.2
"744",11.9,11.9
"745",0.1,0.1
"746",7.1,7.1
"747",0.2,0.2
"748",5.9,5.9
"749",0.1,0.1
"750",7.2,7.2
"751",0.2,0.2
"752",7.8,7.8
"753",5.8,5.8
"754",9.2,9.2
"755",4.6,4.6
"756",10,10
"757",8.3,8.3
"758",11,11
"759",6.8,6.8
"760",13.4,13.4
"761",7.3,7.3
"762",13.6,13.6
"763",9.1,9.1
"764",14.7,14.7
