"","values","value2"
"272",0.0548,0.0548
"273",0.0174,0.0174
"274",0.1114,0.1114
"275",0.02835,0.02835
"276",0.086,0.086
"277",0.0775,0.0775
"278",0.555,0.555
"279",0.054,0.054
"280",0.349,0.349
"281",0.0655,0.0655
"282",0.447,0.447
"283",0.176,0.176
"284",1,1
"285",0.2515,0.2515
"286",0.721,0.721
"287",0.2245,0.2245
"288",0.93,0.93
"289",0.114,0.114
"290",0.572,0.572
"291",0.087,0.087
"292",0.289,0.289
"293",0.06635,0.06635
"294",0.32,0.32
"295",0.06145,0.06145
"296",0.212,0.212
"297",0.04145,0.04145
"298",0.092,0.092
"299",0.00425,0.00425
"300",0.0119,0.0119
"301",0.00355,0.00355
"302",0.09,0.09
"303",0.00535,0.00535
"304",0.06,0.06
"305",0.0665,0.0665
"306",0.238,0.238
"307",0.123,0.123
"308",0.145,0.145
"309",0.1395,0.1395
"310",0.253,0.253
"311",0.07245,0.07245
"312",0.177,0.177
"313",0.0668,0.0668
"314",0.321,0.321
"315",0.05555,0.05555
"316",0.508,0.508
"317",0.2165,0.2165
"318",0.73,0.73
"319",0.2865,0.2865
"320",0.581,0.581
"321",0.2765,0.2765
"322",0.663,0.663
"323",0.3135,0.3135
"324",1.75,1.75
"325",0.1995,0.1995
"326",1.02,1.02
"327",0.4445,0.4445
"328",1.06,1.06
"329",0.377,0.377
"330",0.87,0.87
"331",0.257,0.257
"332",0.736,0.736
"333",0.00595,0.00595
"334",0.383,0.383
"335",0.00295,0.00295
"336",0.235,0.235
"337",0.0074,0.0074
"338",0.18,0.18
"339",0.0041,0.0041
"340",0.0458,0.0458
"341",0.0026,0.0026
"342",0.0031,0.0031
"343",0.00595,0.00595
"344",0.0035,0.0035
"345",0.0109,0.0109
"346",0.0061,0.0061
"347",0.1665,0.1665
"348",0.086,0.086
"349",0.178,0.178
"350",0.116,0.116
"351",0.0546,0.0546
"352",0.118,0.118
"353",0.095,0.095
"354",0.229,0.229
"355",0.0792,0.0792
"356",0.799,0.799
"357",0.1485,0.1485
"358",0.624,0.624
"359",0.331,0.331
"360",0.98,0.98
"361",0.3975,0.3975
"362",1.28,1.28
"363",0.598,0.598
"364",1.34,1.34
"365",0.695,0.695
"366",1,1
"367",0.5285,0.5285
"368",0.9,0.9
"369",0.444,0.444
"370",0.569,0.569
"371",0.254,0.254
"372",0.343,0.343
"373",0.133,0.133
"374",0.217,0.217
"375",0.0075,0.0075
"376",0.143,0.143
"377",0.01075,0.01075
"378",0.086,0.086
"379",0.0088,0.0088
"380",0.0372,0.0372
"381",0.0028,0.0028
"382",0.301,0.301
"383",0.0103,0.0103
"384",0.0562,0.0562
"385",0.0539,0.0539
"386",0.0393,0.0393
"387",0.06715,0.06715
"388",0.17,0.17
"389",0.02785,0.02785
"390",0.237,0.237
"391",0.0706,0.0706
"392",0.237,0.237
"393",0.087,0.087
"394",0.653,0.653
"395",0.153,0.153
"396",0.371,0.371
"397",0.3015,0.3015
"398",0.712,0.712
"399",0.176,0.176
"400",0.738,0.738
"401",0.296,0.296
"402",0.666,0.666
"403",0.125,0.125
"404",0.65,0.65
"405",0.154,0.154
"406",0.656,0.656
"407",0.1105,0.1105
"408",0.36,0.36
"409",0.0945,0.0945
"410",0.0844,0.0844
"411",0.0521,0.0521
"412",0.094,0.094
"413",0.05005,0.05005
"414",0.0183,0.0183
"415",0.0093,0.0093
"416",0.0201,0.0201
"417",0.00355,0.00355
"418",0.0024,0.0024
"419",0.0036,0.0036
"420",0.0161,0.0161
"421",0.191,0.191
"422",0.0032,0.0032
"423",0.013,0.013
"424",0.0069,0.0069
"425",0.00345,0.00345
"426",0.0486,0.0486
"427",0.1195,0.1195
"428",0.0059,0.0059
"429",0.0688,0.0688
"430",0.0193,0.0193
"431",0.0742,0.0742
"432",0.428,0.428
"433",0.06205,0.06205
"434",0.668,0.668
"435",0.327,0.327
"436",1.5,1.5
"437",0.418,0.418
"438",0.912,0.912
"439",0.3275,0.3275
"440",1.15,1.15
"441",0.2975,0.2975
"442",0.898,0.898
"443",0.507,0.507
"444",1.03,1.03
"445",0.575,0.575
"446",0.964,0.964
"447",0.18,0.18
"448",0.653,0.653
"449",0.00535,0.00535
"450",0.451,0.451
"451",0.00495,0.00495
"452",0.103,0.103
"453",0.0035,0.0035
"454",0.182,0.182
"455",0.00225,0.00225
"456",0.205,0.205
"457",0.00945,0.00945
"458",0.0427,0.0427
"459",0.00735,0.00735
"460",0.0031,0.0031
"461",0.205,0.205
"462",0.424,0.424
"463",0.14,0.14
"464",0.797,0.797
"465",0.1795,0.1795
"466",0.873,0.873
"467",0.257,0.257
"468",0.956,0.956
"469",0.137,0.137
"470",0.654,0.654
"471",0.3235,0.3235
"472",1.27,1.27
"473",0.492,0.492
"474",0.916,0.916
"475",0.2,0.2
"476",0.882,0.882
"477",0.1685,0.1685
"478",0.447,0.447
"479",0.2145,0.2145
"480",0.352,0.352
"481",0.179,0.179
"482",0.21,0.21
"483",0.016,0.016
"484",0.005,0.005
"485",0.00225,0.00225
"486",0.0316,0.0316
"487",0.00425,0.00425
"488",0.0029,0.0029
"489",0.0064,0.0064
"490",0.0088,0.0088
"491",0.2385,0.2385
"492",0.0644,0.0644
"493",0.233,0.233
"494",0.0808,0.0808
"495",0.04865,0.04865
"496",0.393,0.393
"497",0.0408,0.0408
"498",0.364,0.364
"499",0.106,0.106
"500",0.327,0.327
"501",0.277,0.277
"502",0.916,0.916
"503",0.3295,0.3295
"504",1.08,1.08
"505",0.227,0.227
"506",1.15,1.15
"507",0.154,0.154
"508",0.973,0.973
"509",0.209,0.209
"510",0.695,0.695
"511",0.158,0.158
"512",0.955,0.955
"513",0.1565,0.1565
"514",0.375,0.375
"515",0.0029,0.0029
"516",0.191,0.191
"517",0.00555,0.00555
"518",0.375,0.375
"519",0.00315,0.00315
"520",0.129,0.129
"521",0.00335,0.00335
"522",0.0642,0.0642
"523",0.0025,0.0025
"524",0.0026,0.0026
"525",0.2065,0.2065
"526",0.188,0.188
"527",0.072,0.072
"528",0.0881,0.0881
"529",0.01635,0.01635
"530",0.0433,0.0433
"531",0.0365,0.0365
"532",0.0773,0.0773
"533",0.01855,0.01855
"534",0.546,0.546
"535",0.153,0.153
"536",0.548,0.548
"537",0.104,0.104
"538",0.621,0.621
"539",0.106,0.106
"540",0.348,0.348
"541",0.04355,0.04355
"542",0.0853,0.0853
"543",0.0026,0.0026
"544",0.0018,0.0018
"545",0.0052,0.0052
"546",0.0031,0.0031
"547",0.00785,0.00785
"548",0.0018,0.0018
"549",0.0021,0.0021
"550",0.0022,0.0022
"551",0.04005,0.04005
"552",0.0031,0.0031
"553",0.2135,0.2135
"554",0.0818,0.0818
"555",0.0425,0.0425
"556",0.182,0.182
"557",0.03755,0.03755
"558",0.164,0.164
"559",0.074,0.074
"560",0.429,0.429
"561",0.147,0.147
"562",0.421,0.421
"563",0.05305,0.05305
"564",0.254,0.254
"565",0.115,0.115
"566",0.544,0.544
"567",0.1055,0.1055
"568",1.06,1.06
"569",0.1395,0.1395
"570",0.814,0.814
"571",0.06455,0.06455
"572",0.429,0.429
"573",0.0027,0.0027
"574",0.305,0.305
"575",0.0312,0.0312
"576",0.249,0.249
"577",0.00235,0.00235
"578",0.187,0.187
"579",0.0022,0.0022
"580",0.208,0.208
"581",0.0119,0.0119
"582",0.0202,0.0202
"583",0.00265,0.00265
"584",0.0081,0.0081
"585",0.08065,0.08065
"586",0.0038,0.0038
"587",0.2065,0.2065
"588",0.0989,0.0989
"589",0.0375,0.0375
"590",0.0547,0.0547
"591",0.01465,0.01465
"592",0.0997,0.0997
"593",0.03395,0.03395
"594",0.338,0.338
"595",0.06775,0.06775
"596",0.262,0.262
"597",0.03885,0.03885
"598",0.565,0.565
"599",0.06745,0.06745
"600",0.728,0.728
"601",0.07145,0.07145
"602",0.787,0.787
"603",0.246,0.246
"604",0.61,0.61
"605",0.0047,0.0047
"606",0.0807,0.0807
"607",0.011,0.011
"608",0.0213,0.0213
"609",0.00295,0.00295
"610",0.0104,0.0104
"611",0.0078,0.0078
"612",0.0063,0.0063
"613",0.0119,0.0119
"614",0.0166,0.0166
"615",0.0024,0.0024
"616",0.0035,0.0035
"617",0.0025,0.0025
"618",0.0016,0.0016
"619",0.04635,0.04635
"620",0.0042,0.0042
"621",0.00955,0.00955
"622",0.0032,0.0032
"623",0.01715,0.01715
"624",0.0685,0.0685
"625",0.02725,0.02725
"626",0.121,0.121
"627",0.0131,0.0131
"628",0.284,0.284
"629",0.03785,0.03785
"630",0.132,0.132
"631",0.07,0.07
"632",0.292,0.292
"633",0.0139,0.0139
"634",0.371,0.371
"635",0.0524,0.0524
"636",0.183,0.183
"637",0.0363,0.0363
"638",0.486,0.486
"639",0.01825,0.01825
"640",0.29,0.29
"641",0.0029,0.0029
"642",0.0042,0.0042
"643",0.0033,0.0033
"644",0.0019,0.0019
"645",0.013,0.013
"646",0.0071,0.0071
"647",0.0042,0.0042
"648",0.0126,0.0126
"649",0.1785,0.1785
"650",0.0146,0.0146
"651",0.137,0.137
"652",0.214,0.214
"653",0.1025,0.1025
"654",0.579,0.579
"655",0.1305,0.1305
"656",0.739,0.739
"657",0.1295,0.1295
"658",1.14,1.14
"659",0.0913,0.0913
"660",0.709,0.709
"661",0.282,0.282
"662",1.03,1.03
"663",0.294,0.294
"664",0.957,0.957
"665",0.379,0.379
"666",0.77,0.77
"667",0.1395,0.1395
"668",0.706,0.706
"669",0.07415,0.07415
"670",0.73,0.73
"671",0.0063,0.0063
"672",0.461,0.461
"673",0.0056,0.0056
"674",0.302,0.302
"675",0.00205,0.00205
"676",0.107,0.107
"677",0.0057,0.0057
"678",0.169,0.169
"679",0.0036,0.0036
"680",0.303,0.303
"681",0.0054,0.0054
"682",0.406,0.406
"683",0.1995,0.1995
"684",0.224,0.224
"685",0.427,0.427
"686",0.63,0.63
"687",0.1445,0.1445
"688",0.444,0.444
"689",0.2025,0.2025
"690",1.02,1.02
"691",0.2,0.2
"692",1.13,1.13
"693",0.1525,0.1525
"694",1,1
"695",0.3045,0.3045
"696",0.995,0.995
"697",0.294,0.294
"698",0.874,0.874
"699",0.384,0.384
"700",1.1,1.1
"701",0.4305,0.4305
"702",0.817,0.817
"703",0.289,0.289
"704",0.577,0.577
"705",0.126,0.126
"706",0.49,0.49
"707",0.0378,0.0378
"708",0.321,0.321
"709",0.0026,0.0026
"710",0.108,0.108
"711",0.00495,0.00495
"712",0.193,0.193
"713",0.012,0.012
"714",0.331,0.331
"715",0.00915,0.00915
"716",0.285,0.285
"717",0.342,0.342
"718",1.06,1.06
"719",0.346,0.346
"720",0.568,0.568
"721",0.0971,0.0971
"722",0.581,0.581
"723",0.156,0.156
"724",0.908,0.908
"725",0.187,0.187
"726",1.22,1.22
"727",0.191,0.191
"728",0.635,0.635
"729",0.24,0.24
"730",0.708,0.708
"731",0.187,0.187
"732",1.15,1.15
"733",0.234,0.234
"734",0.954,0.954
"735",0.346,0.346
"736",0.711,0.711
"737",0.192,0.192
"738",0.529,0.529
"739",0.011,0.011
