,station,date,layer,secchi,chla,do,tn,tp,po4f,pp,tdp,no23f,nh4f,tdn,pn,tss
5207,CB3.3C,1987-07-07,B,,,,,,,,,,,,,
5208,CB3.3C,1987-07-07,S,,,,,,,,,,,,,
5209,CB3.3C,1987-07-21,B,,,,,,,,,,,,,
5210,CB3.3C,1987-07-21,S,,,,,,,,,,,,,
5211,CB3.3C,1987-08-04,B,,,,,,,,,,,,,
5212,CB3.3C,1987-08-04,S,,,,,,,,,,,,,
5213,CB3.3C,1987-08-18,B,,,,,,,,,,,,,
5214,CB3.3C,1987-08-18,S,,,,,,,,,,,,,
5215,CB3.3C,1987-09-02,B,,,,,,,,,,,,,
5216,CB3.3C,1987-09-02,S,,,,,,,,,,,,,
5217,CB3.3C,1987-09-15,B,,,,,,,,,,,,,
5218,CB3.3C,1987-09-15,S,,,,,,,,,,,,,
5219,CB3.3C,1987-10-06,B,,,,,,,,,,,,,
5220,CB3.3C,1987-10-06,S,,,,,,,,,,,,,
5221,CB3.3C,1987-10-20,B,,,,,,,,,,,,,
5222,CB3.3C,1987-10-20,S,,,,,,,,,,,,,
5223,CB3.3C,1987-11-17,B,,,,,,,,,,,,,
5224,CB3.3C,1987-11-17,S,,,,,,,,,,,,,
5225,CB3.3C,1987-12-15,B,,,,,,,,,,,,,
5226,CB3.3C,1987-12-15,S,,,,,,,,,,,,,
5227,CB3.3C,1988-01-12,B,,,,,,,,,,,,,
5228,CB3.3C,1988-01-12,S,,,,,,,,,,,,,
5229,CB3.3C,1988-02-23,B,,,,,,,,,,,,,
5230,CB3.3C,1988-02-23,S,,,,,,,,,,,,,
5231,CB3.3C,1988-03-17,B,,,,,,,,,,,,,
5232,CB3.3C,1988-03-17,S,,,,,,,,,,,,,
5233,CB3.3C,1988-03-30,B,,,,,,,,,,,,,
5234,CB3.3C,1988-03-30,S,,,,,,,,,,,,,
5235,CB3.3C,1988-04-12,B,,,,,,,,,,,,,
5236,CB3.3C,1988-04-12,S,,,,,,,,,,,,,
5237,CB3.3C,1988-04-26,B,,,,,,,,,,,,,
5238,CB3.3C,1988-04-26,S,,,,,,,,,,,,,
5239,CB3.3C,1988-05-10,B,,,,,,,,,,,,,
5240,CB3.3C,1988-05-10,S,,,,,,,,,,,,,
5241,CB3.3C,1988-05-24,B,,,,,,,,,,,,,
5242,CB3.3C,1988-05-24,S,,,,,,,,,,,,,
5243,CB3.3C,1988-06-07,B,,,,,,,,,,,,,
5244,CB3.3C,1988-06-07,S,,,,,,,,,,,,,
5245,CB3.3C,1988-06-21,B,,,,,,,,,,,,,
5246,CB3.3C,1988-06-21,S,,,,,,,,,,,,,
5247,CB3.3C,1988-07-06,B,,,,,,,,,,,,,
5248,CB3.3C,1988-07-06,S,,,,,,,,,,,,,
5249,CB3.3C,1988-07-19,B,,,,,,,,,,,,,
5250,CB3.3C,1988-07-19,S,,,,,,,,,,,,,
5251,CB3.3C,1988-08-09,B,,,,,,,,,,,,,
5252,CB3.3C,1988-08-09,S,,,,,,,,,,,,,
5253,CB3.3C,1988-08-23,B,,,,,,,,,,,,,
5254,CB3.3C,1988-08-23,S,,,,,,,,,,,,,
5255,CB3.3C,1988-09-07,B,,,,,,,,,,,,,
5256,CB3.3C,1988-09-07,S,,,,,,,,,,,,,
5257,CB3.3C,1988-09-20,B,,,,,,,,,,,,,
5258,CB3.3C,1988-09-20,S,,,,,,,,,,,,,
5259,CB3.3C,1988-10-04,B,,,,,,,,,,,,,
5260,CB3.3C,1988-10-04,S,,,,,,,,,,,,,
5261,CB3.3C,1988-10-19,B,,,,,,,,,,,,,
5262,CB3.3C,1988-10-19,S,,,,,,,,,,,,,
5263,CB3.3C,1988-11-21,B,,,,,,,,,,,,,
5264,CB3.3C,1988-11-21,S,,,,,,,,,,,,,
5265,CB3.3C,1988-12-06,B,,,,,,,,,,,,,
5266,CB3.3C,1988-12-06,S,,,,,,,,,,,,,
5267,CB3.3C,1989-01-18,B,,,,,,,,,,,,,
5268,CB3.3C,1989-01-18,S,,,,,,,,,,,,,
5269,CB3.3C,1989-02-13,B,,,,,,,,,,,,,
5270,CB3.3C,1989-02-13,S,,,,,,,,,,,,,
5271,CB3.3C,1989-03-21,B,,,,,,,,,,,,,
5272,CB3.3C,1989-03-21,S,,,,,,,,,,,,,
5273,CB3.3C,1989-04-04,B,,,,,,,,,,,,,
5274,CB3.3C,1989-04-04,S,,,,,,,,,,,,,
5275,CB3.3C,1989-04-18,B,,,,,,,,,,,,,
5276,CB3.3C,1989-04-18,S,,,,,,,,,,,,,
5277,CB3.3C,1989-05-02,B,,,,,,,,,,,,,
5278,CB3.3C,1989-05-02,S,,,,,,,,,,,,,
5279,CB3.3C,1989-05-16,B,,,,,,,,,,,,,
5280,CB3.3C,1989-05-16,S,,,,,,,,,,,,,
5281,CB3.3C,1989-06-13,B,,,,,,,,,,,,,
5282,CB3.3C,1989-06-13,S,,,,,,,,,,,,,
5283,CB3.3C,1989-06-27,B,,,,,,,,,,,,,
5284,CB3.3C,1989-06-27,S,,,,,,,,,,,,,
5285,CB3.3C,1989-07-11,B,,,,,,,,,,,,,
5286,CB3.3C,1989-07-11,S,,,,,,,,,,,,,
5287,CB3.3C,1989-07-25,B,,,,,,,,,,,,,
5288,CB3.3C,1989-07-25,S,,,,,,,,,,,,,
5289,CB3.3C,1989-08-15,B,,,,,,,,,,,,,
5290,CB3.3C,1989-08-15,S,,,,,,,,,,,,,
5291,CB3.3C,1989-08-29,B,,,,,,,,,,,,,
5292,CB3.3C,1989-08-29,S,,,,,,,,,,,,,
5293,CB3.3C,1989-09-12,B,,,,,,,,,,,,,
5294,CB3.3C,1989-09-12,S,,,,,,,,,,,,,
5295,CB3.3C,1989-09-27,B,,,,,,,,,,,,,
5296,CB3.3C,1989-09-27,S,,,,,,,,,,,,,
5297,CB3.3C,1989-10-10,B,,,,,,,,,,,,,
5298,CB3.3C,1989-10-10,S,,,,,,,,,,,,,
