"","values","value2"
"288",1.23,1.23
"289",0.59,0.59
"290",1,1
"291",0.55,0.55
"292",0.6,0.6
"293",0.675,0.675
"294",0.7,0.7
"295",0.73,0.73
"296",0.61,0.61
"297",0.76,0.76
"298",0.41,0.41
"299",0.725,0.725
"300",0.34,0.34
"301",0.625,0.625
"302",0.49,0.49
"303",0.515,0.515
"304",0.34,0.34
"305",0.465,0.465
"306",0.55,0.55
"307",0.48,0.48
"308",0.5,0.5
"309",0.48,0.48
"310",0.64,0.64
"311",0.52,0.52
"312",0.51,0.51
"313",0.515,0.515
"314",0.63,0.63
"315",0.45,0.45
"316",0.78,0.78
"317",0.61,0.61
"318",0.99,0.99
"319",0.63,0.63
"320",0.87,0.87
"321",0.64,0.64
"322",0.92,0.92
"323",0.705,0.705
"324",2.23,2.23
"325",0.645,0.645
"326",1.33,1.33
"327",1.03,1.03
"328",1.32,1.32
"329",0.91,0.91
"330",1.18,1.18
"331",0.845,0.845
"332",0.97,0.97
"333",0.725,0.725
"334",0.68,0.68
"335",0.68,0.68
"336",0.6,0.6
"337",0.845,0.845
"338",0.47,0.47
"339",0.715,0.715
"340",0.38,0.38
"341",0.75,0.75
"342",0.34,0.34
"343",0.67,0.67
"344",0.35,0.35
"345",0.675,0.675
"346",0.43,0.43
"347",0.55,0.55
"348",0.4,0.4
"349",0.545,0.545
"350",0.41,0.41
"351",0.53,0.53
"352",0.53,0.53
"353",0.635,0.635
"354",0.6,0.6
"355",0.44,0.44
"356",1.14,1.14
"357",0.52,0.52
"358",0.99,0.99
"359",0.66,0.66
"360",1.37,1.37
"361",0.87,0.87
"362",1.54,1.54
"363",1.22,1.22
"364",1.66,1.66
"365",1.345,1.345
"366",1.27,1.27
"367",1.195,1.195
"368",1.24,1.24
"369",0.955,0.955
"370",0.84,0.84
"371",0.845,0.845
"372",0.68,0.68
"373",0.785,0.785
"374",0.58,0.58
"375",0.86,0.86
"376",0.44,0.44
"377",0.78,0.78
"378",0.39,0.39
"379",0.93,0.93
"380",0.54,0.54
"381",0.67,0.67
"382",0.61,0.61
"383",0.49,0.49
"384",0.34,0.34
"385",0.625,0.625
"386",0.41,0.41
"387",0.67,0.67
"388",0.5,0.5
"389",0.535,0.535
"390",0.56,0.56
"391",0.655,0.655
"392",0.54,0.54
"393",0.47,0.47
"394",0.97,0.97
"395",0.495,0.495
"396",0.61,0.61
"397",0.695,0.695
"398",0.98,0.98
"399",0.515,0.515
"400",0.98,0.98
"401",0.63,0.63
"402",0.85,0.85
"403",0.615,0.615
"404",1.05,1.05
"405",0.665,0.665
"406",0.95,0.95
"407",0.74,0.74
"408",0.69,0.69
"409",0.6,0.6
"410",0.41,0.41
"411",0.77,0.77
"412",0.47,0.47
"413",0.75,0.75
"414",0.33,0.33
"415",0.79,0.79
"416",0.38,0.38
"417",0.74,0.74
"418",0.34,0.34
"419",0.655,0.655
"420",0.38,0.38
"421",0.72,0.72
"422",0.35,0.35
"423",0.43,0.43
"424",0.47,0.47
"425",0.445,0.445
"426",0.38,0.38
"427",0.525,0.525
"428",0.33,0.33
"429",0.615,0.615
"430",0.39,0.39
"431",0.63,0.63
"432",0.9,0.9
"433",0.635,0.635
"434",1,1
"435",0.64,0.64
"436",1.99,1.99
"437",0.855,0.855
"438",1.31,1.31
"439",0.73,0.73
"440",1.46,1.46
"441",0.91,0.91
"442",1.19,1.19
"443",1.28,1.28
"444",1.33,1.33
"445",1.27,1.27
"446",1.34,1.34
"447",0.785,0.785
"448",0.96,0.96
"449",0.645,0.645
"450",0.7,0.7
"451",0.845,0.845
"452",0.48,0.48
"453",0.895,0.895
"454",0.63,0.63
"455",0.8,0.8
"456",0.54,0.54
"457",0.885,0.885
"458",0.38,0.38
"459",0.715,0.715
"460",0.35,0.35
"461",0.53,0.53
"462",0.69,0.69
"463",0.665,0.665
"464",1.14,1.14
"465",0.67,0.67
"466",1.24,1.24
"467",0.58,0.58
"468",1.184,1.184
"469",NA,NA
"470",NA,NA
"471",0.93,0.93
"472",1.5,1.5
"473",0.965,0.965
"474",1.29,1.29
"475",0.72,0.72
"476",1.19,1.19
"477",0.8,0.8
"478",0.7,0.7
"479",0.775,0.775
"480",0.54,0.54
"481",0.765,0.765
"482",0.51,0.51
"483",0.73,0.73
"484",0.32,0.32
"485",0.75,0.75
"486",0.33,0.33
"487",0.65,0.65
"488",0.33,0.33
"489",0.565,0.565
"490",0.31,0.31
"491",0.545,0.545
"492",0.33,0.33
"493",0.55,0.55
"494",0.35,0.35
"495",0.515,0.515
"496",0.8,0.8
"497",0.445,0.445
"498",0.66,0.66
"499",0.396,0.396
"500",0.477,0.477
"501",0.467,0.467
"502",1.096,1.096
"503",0.81,0.81
"504",1.43,1.43
"505",0.705,0.705
"506",1.49,1.49
"507",0.685,0.685
"508",1.23,1.23
"509",0.765,0.765
"510",0.87,0.87
"511",0.755,0.755
"512",1.16,1.16
"513",0.725,0.725
"514",0.76,0.76
"515",0.71,0.71
"516",0.42,0.42
"517",0.73,0.73
"518",0.63,0.63
"519",0.7,0.7
"520",0.42,0.42
"521",0.88,0.88
"522",0.39,0.39
"523",0.65,0.65
"524",0.36,0.36
"525",0.49,0.49
"526",0.41,0.41
"527",0.47,0.47
"528",0.38,0.38
"529",0.525,0.525
"530",0.36,0.36
"531",0.39,0.39
"532",0.37,0.37
"533",0.425,0.425
"534",0.92,0.92
"535",0.615,0.615
"536",0.85,0.85
"537",0.49,0.49
"538",0.85,0.85
"539",0.635,0.635
"540",0.58,0.58
"541",0.4,0.4
"542",0.32,0.32
"543",0.715,0.715
"544",0.28,0.28
"545",0.605,0.605
"546",0.28,0.28
"547",0.485,0.485
"548",0.29,0.29
"549",0.36,0.36
"550",0.29,0.29
"551",0.385,0.385
"552",0.29,0.29
"553",0.55,0.55
"554",0.35,0.35
"555",0.505,0.505
"556",0.55,0.55
"557",0.56,0.56
"558",0.51,0.51
"559",0.49,0.49
"560",0.72,0.72
"561",0.47,0.47
"562",0.72,0.72
"563",0.355,0.355
"564",0.5,0.5
"565",0.525,0.525
"566",0.8,0.8
"567",0.585,0.585
"568",1.31,1.31
"569",0.64,0.64
"570",1,1
"571",0.655,0.655
"572",0.66,0.66
"573",0.52,0.52
"574",0.54,0.54
"575",0.695,0.695
"576",0.51,0.51
"577",0.675,0.675
"578",0.51,0.51
"579",0.635,0.635
"580",0.53,0.53
"581",0.79,0.79
"582",0.34,0.34
"583",0.595,0.595
"584",0.31,0.31
"585",0.5,0.5
"586",0.37,0.37
"587",0.515,0.515
"588",0.39,0.39
"589",0.47,0.47
"590",0.38,0.38
"591",0.385,0.385
"592",0.42,0.42
"593",0.33,0.33
"594",0.58,0.58
"595",0.385,0.385
"596",0.56,0.56
"597",0.38,0.38
"598",0.83,0.83
"599",0.485,0.485
"600",1.03,1.03
"601",0.595,0.595
"602",1.14,1.14
"603",0.74,0.74
"604",0.85,0.85
"605",0.485,0.485
"606",0.33,0.33
"607",0.665,0.665
"608",0.28,0.28
"609",0.545,0.545
"610",0.27,0.27
"611",0.455,0.455
"612",0.28,0.28
"613",0.645,0.645
"614",0.4,0.4
"615",0.405,0.405
"616",0.32,0.32
"617",0.445,0.445
"618",0.38,0.38
"619",0.525,0.525
"620",0.43,0.43
"621",0.405,0.405
"622",0.29,0.29
"623",0.395,0.395
"624",NA,NA
"625",0.445,0.445
"626",0.46,0.46
"627",0.38,0.38
"628",0.56,0.56
"629",0.425,0.425
"630",0.39,0.39
"631",0.465,0.465
"632",0.54,0.54
"633",0.395,0.395
"634",0.64,0.64
"635",0.51,0.51
"636",0.45,0.45
"637",0.575,0.575
"638",0.79,0.79
"639",0.575,0.575
"640",0.53,0.53
"641",0.525,0.525
"642",0.33,0.33
"643",0.44,0.44
"644",0.3,0.3
"645",0.455,0.455
"646",0.3,0.3
"647",0.415,0.415
"648",0.32,0.32
"649",0.515,0.515
"650",0.41,0.41
"651",0.535,0.535
"652",0.54,0.54
"653",0.53,0.53
"654",0.9,0.9
"655",0.51,0.51
"656",1.13,1.13
"657",0.615,0.615
"658",1.4,1.4
"659",0.455,0.455
"660",1.07,1.07
"661",0.65,0.65
"662",1.21,1.21
"663",0.77,0.77
"664",1.27,1.27
"665",0.86,0.86
"666",1.11,1.11
"667",0.695,0.695
"668",1.08,1.08
"669",0.65,0.65
"670",1.03,1.03
"671",0.68,0.68
"672",0.76,0.76
"673",0.715,0.715
"674",0.54,0.54
"675",0.785,0.785
"676",0.48,0.48
"677",0.87,0.87
"678",0.56,0.56
"679",0.82,0.82
"680",0.58,0.58
"681",0.66,0.66
"682",0.73,0.73
"683",0.75,0.75
"684",0.7,0.7
"685",0.675,0.675
"686",0.88,0.88
"687",0.675,0.675
"688",0.93,0.93
"689",0.61,0.61
"690",1.52,1.52
"691",0.69,0.69
"692",1.37,1.37
"693",0.565,0.565
"694",1.21,1.21
"695",0.745,0.745
"696",1.17,1.17
"697",0.78,0.78
"698",1.19,1.19
"699",0.96,0.96
"700",1.34,1.34
"701",1.09,1.09
"702",1,1
"703",0.79,0.79
"704",0.73,0.73
"705",0.705,0.705
"706",0.71,0.71
"707",0.72,0.72
"708",0.54,0.54
"709",0.665,0.665
"710",0.35,0.35
"711",0.755,0.755
"712",0.43,0.43
"713",0.645,0.645
"714",0.67,0.67
"715",0.785,0.785
"716",0.54,0.54
"717",0.575,0.575
"718",1.26,1.26
"719",0.74,0.74
"720",0.83,0.83
"721",0.575,0.575
"722",0.93,0.93
"723",0.565,0.565
"724",1.13,1.13
"725",0.53,0.53
"726",1.41,1.41
"727",0.59,0.59
"728",0.9,0.9
"729",0.645,0.645
"730",0.91,0.91
"731",0.675,0.675
"732",1.36,1.36
"733",0.855,0.855
"734",1.23,1.23
"735",0.94,0.94
"736",1.05,1.05
"737",0.77,0.77
"738",0.83,0.83
"739",0.62,0.62
"740",0.52,0.52
"741",0.645,0.645
"742",0.43,0.43
"743",0.745,0.745
"744",0.33,0.33
"745",0.675,0.675
"746",0.36,0.36
"747",0.65,0.65
"748",0.39,0.39
"749",0.635,0.635
"750",0.37,0.37
"751",0.455,0.455
"752",0.32,0.32
"753",0.54,0.54
"754",0.86,0.86
"755",0.66,0.66
"756",0.74,0.74
"757",0.445,0.445
"758",0.84,0.84
"759",0.485,0.485
"760",0.88,0.88
"761",0.57,0.57
"762",1.19,1.19
"763",0.455,0.455
"764",0.79,0.79
"765",0.625,0.625
"766",1.02,1.02
"767",0.735,0.735
"768",1.13,1.13
"769",0.56,0.56
"770",0.77,0.77
"771",0.61,0.61
"772",0.65,0.65
"773",0.635,0.635
"774",0.6,0.6
"775",0.63,0.63
"776",0.41,0.41
"777",0.78,0.78
"778",0.83,0.83
"779",0.645,0.645
"780",0.48,0.48
"781",0.44,0.44
"782",0.34,0.34
"783",0.5,0.5
"784",0.31,0.31
"785",0.53,0.53
"786",0.44,0.44
"787",0.555,0.555
"788",0.37,0.37
"789",0.51,0.51
"790",0.77,0.77
"791",0.55,0.55
"792",0.67,0.67
"793",0.55,0.55
"794",0.84,0.84
"795",0.45,0.45
"796",1.38,1.38
"797",0.495,0.495
"798",1.02,1.02
"799",0.465,0.465
"800",1.06,1.06
"801",0.86,0.86
"802",1.27,1.27
"803",0.52,0.52
"804",0.87,0.87
"805",0.525,0.525
"806",0.58,0.58
"807",0.58,0.58
"808",0.44,0.44
"809",0.88,0.88
"810",0.3,0.3
"811",0.545,0.545
"812",0.26,0.26
"813",0.415,0.415
"814",0.29,0.29
"815",0.485,0.485
"816",0.27,0.27
"817",0.49,0.49
"818",0.37,0.37
"819",0.365,0.365
"820",0.39,0.39
"821",0.52,0.52
"822",0.37,0.37
"823",0.41,0.41
"824",0.42,0.42
"825",0.365,0.365
"826",0.79,0.79
"827",0.415,0.415
"828",1.09,1.09
"829",0.49,0.49
"830",0.83,0.83
"831",0.65,0.65
"832",1.09,1.09
"833",0.6,0.6
"834",1.01,1.01
"835",0.525,0.525
"836",0.85,0.85
"837",0.555,0.555
"838",0.65,0.65
"839",0.615,0.615
"840",0.56,0.56
"841",0.715,0.715
"842",0.4,0.4
"843",0.625,0.625
"844",0.29,0.29
"845",0.625,0.625
"846",0.28,0.28
"847",0.75,0.75
"848",0.26,0.26
"849",0.71,0.71
"850",0.31,0.31
"851",0.565,0.565
"852",0.33,0.33
"853",0.525,0.525
"854",0.34,0.34
"855",0.49,0.49
"856",0.29,0.29
"857",0.38,0.38
"858",0.51,0.51
"859",0.305,0.305
"860",0.63,0.63
"861",0.425,0.425
"862",0.63,0.63
"863",0.435,0.435
"864",0.54,0.54
"865",0.475,0.475
"866",0.89,0.89
"867",0.43,0.43
"868",0.75,0.75
"869",0.6,0.6
"870",0.61,0.61
"871",0.565,0.565
"872",0.65,0.65
"873",0.475,0.475
"874",0.49,0.49
"875",0.53,0.53
"876",0.41,0.41
"877",0.545,0.545
"878",0.42,0.42
"879",0.645,0.645
"880",0.35,0.35
"881",0.79,0.79
"882",0.4,0.4
"883",0.435,0.435
"884",0.45,0.45
"885",0.5,0.5
"886",0.46,0.46
"887",0.5,0.5
"888",0.53,0.53
"889",0.5,0.5
"890",0.81,0.81
"891",0.525,0.525
"892",0.71,0.71
"893",0.415,0.415
"894",1.14,1.14
"895",0.515,0.515
"896",0.82,0.82
"897",0.515,0.515
"898",1.34,1.34
"899",0.87,0.87
"900",1.23,1.23
"901",0.755,0.755
"902",0.83,0.83
"903",0.715,0.715
"904",0.51,0.51
"905",0.635,0.635
"906",0.3,0.3
"907",0.65,0.65
"908",0.33,0.33
"909",0.655,0.655
"910",0.36,0.36
"911",0.5,0.5
"912",0.36,0.36
"913",0.39,0.39
"914",0.32,0.32
"915",0.535,0.535
"916",0.54,0.54
"917",0.455,0.455
"918",0.46,0.46
"919",0.48,0.48
"920",0.78,0.78
"921",0.35,0.35
"922",0.62,0.62
"923",0.35,0.35
"924",0.5,0.5
"925",0.485,0.485
"926",1.6,1.6
"927",0.685,0.685
"928",1.15,1.15
"929",0.74,0.74
"930",0.94,0.94
"931",0.62,0.62
"932",0.63,0.63
"933",0.74,0.74
"934",0.32,0.32
"935",0.675,0.675
"936",0.29,0.29
"937",0.625,0.625
"938",0.33,0.33
"939",0.605,0.605
"940",0.6,0.6
"941",0.555,0.555
"942",1.01,1.01
"943",0.605,0.605
"944",1.48,1.48
"945",0.715,0.715
"946",0.85,0.85
"947",0.62,0.62
"948",0.85,0.85
"949",0.615,0.615
"950",1.47,1.47
"951",0.735,0.735
"952",1.41,1.41
"953",0.495,0.495
"954",0.85,0.85
"955",0.545,0.545
"956",0.91,0.91
"957",0.64,0.64
"958",0.43,0.43
"959",0.635,0.635
"960",0.37,0.37
"961",0.64,0.64
"962",0.55,0.55
"963",0.57,0.57
"964",0.52,0.52
"965",0.585,0.585
"966",0.38,0.38
"967",0.545,0.545
"968",0.35,0.35
"969",0.465,0.465
"970",0.32,0.32
"971",0.4,0.4
"972",0.38,0.38
"973",0.51,0.51
"974",0.47,0.47
"975",0.505,0.505
"976",0.78,0.78
"977",0.455,0.455
"978",0.58,0.58
"979",0.42,0.42
"980",0.93,0.93
"981",0.465,0.465
"982",0.84,0.84
"983",0.47,0.47
"984",1.17,1.17
"985",0.615,0.615
"986",0.84,0.84
"987",0.435,0.435
"988",0.34,0.34
"989",0.57,0.57
"990",0.44,0.44
"991",0.59,0.59
"992",0.45,0.45
"993",0.6,0.6
"994",0.41,0.41
"995",0.555,0.555
"996",0.29,0.29
"997",0.35,0.35
"998",0.31,0.31
"999",0.45,0.45
"1000",0.51,0.51
"1001",0.375,0.375
"1002",0.42,0.42
"1003",0.325,0.325
"1004",0.69,0.69
"1005",0.425,0.425
"1006",0.62,0.62
"1007",0.43,0.43
"1008",1.07,1.07
"1009",0.735,0.735
"1010",1.07,1.07
"1011",0.65,0.65
"1012",0.88,0.88
"1013",0.65,0.65
"1014",0.7,0.7
"1015",0.665,0.665
"1016",0.41,0.41
"1017",NA,NA
"1018",0.42,0.42
"1019",0.26,0.26
"1020",0.555,0.555
"1021",0.29,0.29
"1022",0.335,0.335
"1023",0.31,0.31
"1024",0.335,0.335
"1025",0.26,0.26
"1026",0.445,0.445
"1027",0.4,0.4
"1028",0.325,0.325
"1029",0.41,0.41
"1030",0.375,0.375
"1031",0.55,0.55
"1032",0.335,0.335
"1033",0.48,0.48
"1034",0.3,0.3
"1035",0.83,0.83
"1036",0.535,0.535
"1037",0.71,0.71
"1038",0.69,0.69
"1039",0.68,0.68
"1040",0.575,0.575
"1041",0.43,0.43
"1042",0.625,0.625
"1043",0.3,0.3
"1044",0.78,0.78
"1045",0.49,0.49
"1046",0.58,0.58
"1047",0.3,0.3
"1048",0.345,0.345
"1049",0.31,0.31
"1050",0.48,0.48
"1051",0.35,0.35
"1052",0.395,0.395
"1053",0.63,0.63
"1054",0.445,0.445
"1055",0.32,0.32
"1056",0.42,0.42
"1057",0.42,0.42
"1058",0.572,0.572
"1059",0.7,0.7
"1060",0.08,0.455
"1061",0.248,0.623
"1062",0.0366,0.4116
"1063",0.216,0.591
"1064",0.491,0.491
"1065",0.261,0.636
"1066",0.6263,0.6263
"1067",0.874,0.874
"1068",0.624,0.624
"1069",0.294,0.669
"1070",0.0393,0.4143
"1071",0.245,0.62
"1072",0.473,0.473
"1073",0.491,0.491
"1074",0.352,0.352
"1075",0.513,0.513
"1076",0.542,0.542
"1077",0.448,0.448
"1078",0.514,0.514
"1079",0.42,0.42
"1080",0.594,0.594
"1081",0.324,0.324
"1082",0.64,0.64
"1083",0.318,0.318
"1084",0.603,0.603
"1085",0.382,0.382
"1086",0.719,0.719
"1087",0.397,0.397
"1088",0.554,0.554
"1089",0.369,0.369
"1090",0.908,0.908
"1091",0.406,0.406
"1092",0.5,0.5
"1093",0.416,0.416
"1094",0.465,0.465
"1095",0.54,0.54
"1096",0.51,0.51
"1097",0.61,0.61
"1098",0.56,0.56
"1099",0.74,0.74
"1100",0.77,0.77
"1101",0.82,0.82
"1102",0.74,0.74
"1103",0.85,0.85
"1104",0.62,0.62
"1105",1.58,1.58
"1106",0.56,0.56
"1107",0.96,0.96
"1108",0.55,0.55
"1109",0.74,0.74
"1110",0.57,0.57
"1111",0.92,0.92
"1112",NA,NA
"1113",0.6,0.6
"1114",0.47,0.47
"1115",0.59,0.59
"1116",0.29,0.29
"1117",0.37,0.37
"1118",0.48,0.48
"1119",0.43,0.43
"1120",0.37,0.37
"1121",0.54,0.54
"1122",0.37,0.37
"1123",0.69,0.69
"1124",0.39,0.39
"1125",0.48,0.48
"1126",0.43,0.43
"1127",0.69,0.69
"1128",0.38,0.38
"1129",0.393,0.393
"1130",0.3866,0.3866
"1131",0.2479,0.2479
"1132",0.308,0.308
"1133",0.3139,0.3139
"1134",0.36,0.36
"1135",0.525,0.525
"1136",0.673,0.673
"1137",0.344,0.344
"1138",0.473,0.473
"1139",0.427,0.427
"1140",0.606,0.606
"1141",0.33,0.33
"1142",0.559,0.559
"1143",0.437,0.437
"1144",0.837,0.837
"1145",0.502,0.502
"1146",0.619,0.619
"1147",0.399,0.399
"1148",0.553,0.553
"1149",0.4542,0.4542
"1150",0.751,0.751
"1151",0.6302,0.6302
"1152",0.486,0.486
"1153",0.5554,0.5554
"1154",0.3382,0.3382
"1155",0.6923,0.6923
"1156",0.5193,0.5193
"1157",0.6089,0.6089
"1158",0.3881,0.3881
"1159",0.2722,0.2722
"1160",0.3116,0.3116
"1161",0.4836,0.4836
"1162",0.359,0.359
"1163",NA,NA
"1164",0.4106,0.4106
"1165",0.4824,0.4824
"1166",0.3119,0.3119
"1167",0.635,0.635
"1168",0.3332,0.3332
"1169",0.53,0.53
"1170",0.55,0.55
"1171",0.57,0.57
"1172",0.47,0.47
"1173",0.43,0.43
"1174",0.53,0.53
"1175",0.47,0.47
"1176",0.46,0.46
"1177",0.42,0.42
"1178",0.57,0.57
"1179",0.53,0.53
"1180",0.67,0.67
"1181",0.42,0.42
"1182",0.58,0.58
"1183",0.66,0.66
"1184",0.74,0.74
"1185",0.45,0.45
"1186",0.75,0.75
