"station"	"date"	"layer"	"no23f..Data.values"	"no23f..Data.value2"	"no23f.remark.codes"	"no23f.value.codes"	"no23f.reporting.level"	"no23f.reporting.method"	"no23f.reporting.units"	"no23f.analyte.method"	"no23f.analyte.name"	"no23f.unique.code"
"CB3.3C"	1986-07-29	"S"	 0.00110	 0.00110	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	 0.00520	 0.00520	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	 0.00340	 0.00340	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	 0.00325	 0.00325	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	 0.04490	 0.04490	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	 0.06310	 0.06310	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	 0.01270	 0.01270	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	 0.18600	 0.18600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	 0.08400	 0.08400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	 0.07520	 0.07520	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	 0.09320	 0.09320	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	 0.05140	 0.05140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	 0.16000	 0.16000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	 0.08700	 0.08700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	 0.24900	 0.24900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	 0.12600	 0.12600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	 0.58000	 0.58000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	 0.18900	 0.18900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	 0.64000	 0.64000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	 0.21650	 0.21650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	 0.62400	 0.62400	" "	""	NA	""	""	""	""	""
