"station"	"date"	"layer"	"no23f..Data.values"	"no23f..Data.value2"	"no23f.remark.codes"	"no23f.value.codes"	"no23f.reporting.level"	"no23f.reporting.method"	"no23f.reporting.units"	"no23f.analyte.method"	"no23f.analyte.name"	"no23f.unique.code"
"CB5.1"	1991-10-23	"B"	 0.01340	 0.01340	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-10-23	"S"	 0.01980	 0.01980	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-11-06	"B"	 0.00730	 0.00730	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-11-06	"S"	 0.01170	 0.01170	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-11-12	"B"	 0.01150	 0.01150	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-11-12	"S"	 0.02530	 0.02530	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-12-02	"B"	 0.01930	 0.01930	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-12-02	"S"	 0.00990	 0.00990	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-12-09	"B"	 0.02010	 0.02010	" "	""	NA	""	""	""	""	""
"CB5.1"	1991-12-09	"S"	 0.01560	 0.01560	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-01-06	"B"	 0.01860	 0.01860	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-01-06	"S"	 0.12100	 0.12100	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-01-22	"B"	 0.08200	 0.08200	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-01-22	"S"	 0.07800	 0.07800	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-02-10	"B"	 0.00700	 0.00700	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-02-10	"S"	 0.08000	 0.08000	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-02-20	"B"	 0.01940	 0.01940	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-02-20	"S"	 0.12900	 0.12900	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-03-10	"B"	 0.02020	 0.02020	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-03-10	"S"	 0.11600	 0.11600	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-03-30	"B"	 0.03370	 0.03370	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-03-30	"S"	 0.19200	 0.19200	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-04-14	"B"	 0.10600	 0.10600	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-04-14	"S"	 0.37700	 0.37700	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-04-27	"B"	 0.05440	 0.05440	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-04-27	"S"	 0.39400	 0.39400	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-05-11	"B"	 0.07300	 0.07300	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-05-11	"S"	 0.39600	 0.39600	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-05-26	"B"	 0.05180	 0.05180	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-05-26	"S"	 0.24200	 0.24200	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-06-08	"B"	 0.05230	 0.05230	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-06-08	"S"	 0.12400	 0.12400	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-06-22	"B"	 0.05640	 0.05640	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-06-22	"S"	 0.05290	 0.05290	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-07-06	"B"	 0.02830	 0.02830	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-07-06	"S"	 0.00190	 0.00190	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-07-20	"B"	 0.01520	 0.01520	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-07-20	"S"	 0.00080	 0.00080	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-08-11	"B"	 0.01920	 0.01920	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-08-11	"S"	 0.00140	 0.00140	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-08-24	"B"	 0.02440	 0.02440	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-08-24	"S"	 0.01660	 0.01660	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-09-08	"B"	 0.00270	 0.00270	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-09-08	"S"	 0.01220	 0.01220	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-09-22	"B"	 0.14700	 0.14700	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-09-22	"S"	 0.00110	 0.00110	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-10-06	"B"	 0.05390	 0.05390	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-10-06	"S"	 0.05640	 0.05640	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-10-20	"B"	 0.02130	 0.02130	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-10-20	"S"	 0.03750	 0.03750	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-11-17	"B"	 0.02430	 0.02430	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-11-17	"S"	 0.05860	 0.05860	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-12-07	"B"	 0.03760	 0.03760	" "	""	NA	""	""	""	""	""
"CB5.1"	1992-12-07	"S"	 0.15900	 0.15900	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-01-04	"B"	 0.06050	 0.06050	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-01-04	"S"	 0.26300	 0.26300	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-02-08	"B"	 0.19200	 0.19200	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-02-08	"S"	 0.22900	 0.22900	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-03-09	"B"	 0.06600	 0.06600	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-03-09	"S"	 0.33700	 0.33700	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-03-29	"B"	 0.10600	 0.10600	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-03-29	"S"	 0.78200	 0.78200	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-04-12	"B"	 0.11100	 0.11100	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-04-12	"S"	 0.70800	 0.70800	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-04-26	"B"	 0.30200	 0.30200	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-04-26	"S"	 0.66200	 0.66200	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-05-10	"B"	 0.18700	 0.18700	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-05-10	"S"	 0.65500	 0.65500	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-05-24	"B"	 0.07700	 0.07700	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-05-24	"S"	 0.54700	 0.54700	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-06-14	"B"	 0.12500	 0.12500	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-06-14	"S"	 0.27600	 0.27600	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-06-28	"B"	 0.03960	 0.03960	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-06-28	"S"	 0.02510	 0.02510	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-07-12	"B"	 0.00610	 0.00610	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-07-12	"S"	 0.00160	 0.00160	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-07-26	"B"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-07-26	"S"	 0.00160	 0.00160	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-08-09	"B"	 0.00180	 0.00180	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-08-09	"S"	 0.00120	 0.00120	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-08-23	"B"	 0.06390	 0.06390	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-08-23	"S"	 0.01970	 0.01970	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-09-13	"B"	 0.00290	 0.00290	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-09-13	"S"	 0.00270	 0.00270	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-09-28	"B"	 0.21500	 0.21500	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-09-28	"S"	 0.00800	 0.00800	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-10-12	"B"	 0.03330	 0.03330	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-10-12	"S"	 0.02440	 0.02440	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-10-25	"B"	 0.03210	 0.03210	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-10-25	"S"	 0.02800	 0.02800	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-11-15	"B"	 0.02680	 0.02680	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-11-15	"S"	 0.01000	 0.01000	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-12-06	"B"	 0.02320	 0.02320	" "	""	NA	""	""	""	""	""
"CB5.1"	1993-12-06	"S"	 0.14200	 0.14200	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-01-03	"B"	 0.05800	 0.05800	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-01-03	"S"	 0.26000	 0.26000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-02-07	"B"	 0.05800	 0.05800	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-02-07	"S"	 0.27000	 0.27000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-03-07	"B"	 0.20000	 0.20000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-03-07	"S"	 0.56500	 0.56500	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-03-21	"B"	 0.28000	 0.28000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-03-21	"S"	 0.48700	 0.48700	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-04-04	"B"	 0.37500	 0.37500	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-04-04	"S"	 0.91000	 0.91000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-04-18	"B"	 0.51000	 0.51000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-04-18	"S"	 0.98000	 0.98000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-05-02	"B"	 0.35300	 0.35300	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-05-02	"S"	 0.73000	 0.73000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-05-25	"B"	 0.35000	 0.35000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-05-25	"S"	 0.59200	 0.59200	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-06-13	"B"	 0.26000	 0.26000	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-06-13	"S"	 0.35600	 0.35600	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-06-27	"B"	 0.14500	 0.14500	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-06-27	"S"	 0.08100	 0.08100	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-07-11	"B"	 0.02300	 0.02300	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-07-11	"S"	 0.02600	 0.02600	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-07-25	"B"	 0.00500	 0.00500	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-07-25	"S"	 0.00630	 0.00630	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-08-15	"B"	 0.09100	 0.09100	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-08-15	"S"	 0.00330	 0.00330	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-08-29	"B"	 0.00310	 0.00310	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-08-29	"S"	 0.00290	 0.00290	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-09-12	"B"	 0.06970	 0.06970	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-09-12	"S"	 0.05170	 0.05170	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-09-26	"B"	 0.03940	 0.03940	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-09-26	"S"	 0.00490	 0.00490	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-10-11	"B"	 0.02360	 0.02360	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-10-11	"S"	 0.01860	 0.01860	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-10-24	"B"	 0.01100	 0.01100	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-10-24	"S"	 0.04450	 0.04450	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-11-14	"B"	 0.02500	 0.02500	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-11-14	"S"	 0.01950	 0.01950	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-12-12	"B"	 0.04110	 0.04110	" "	""	NA	""	""	""	""	""
"CB5.1"	1994-12-12	"S"	 0.10600	 0.10600	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-01-09	"B"	 0.09000	 0.09000	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-01-09	"S"	 0.17200	 0.17200	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-02-13	"B"	 0.07200	 0.07200	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-02-13	"S"	 0.27600	 0.27600	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-03-06	"B"	 0.07400	 0.07400	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-03-06	"S"	 0.30600	 0.30600	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-03-20	"B"	 0.07300	 0.07300	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-03-20	"S"	 0.37400	 0.37400	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-04-10	"B"	 0.03480	 0.03480	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-04-10	"S"	 0.21800	 0.21800	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-04-24	"B"	 0.04010	 0.04010	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-04-24	"S"	 0.22200	 0.22200	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-05-08	"B"	 0.06160	 0.06160	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-05-08	"S"	 0.27300	 0.27300	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-05-22	"B"	 0.05790	 0.05790	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-05-22	"S"	 0.16300	 0.16300	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-06-05	"B"	 0.08480	 0.08480	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-06-05	"S"	 0.09100	 0.09100	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-06-19	"B"	 0.02010	 0.02010	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-06-19	"S"	 0.01210	 0.01210	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-07-10	"B"	 0.01380	 0.01380	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-07-10	"S"	 0.00200	 0.00200	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-07-24	"B"	 0.00200	 0.00200	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-07-24	"S"	 0.00260	 0.00260	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-08-07	"B"	 0.00580	 0.00580	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-08-07	"S"	 0.00280	 0.00280	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-08-21	"B"	 0.09900	 0.09900	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-08-21	"S"	 0.00120	 0.00120	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-09-05	"B"	 0.18200	 0.18200	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-09-05	"S"	 0.00140	 0.00140	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-09-18	"B"	 0.07220	 0.07220	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-09-18	"S"	 0.00140	 0.00140	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-10-02	"B"	 0.02520	 0.02520	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-10-02	"S"	 0.00160	 0.00160	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-10-16	"B"	 0.03470	 0.03470	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-10-16	"S"	 0.00810	 0.00810	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-11-13	"B"	 0.01270	 0.01270	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-11-13	"S"	 0.01260	 0.01260	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-12-13	"B"	 0.01570	 0.01570	" "	""	NA	""	""	""	""	""
"CB5.1"	1995-12-13	"S"	 0.24900	 0.24900	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-01-30	"B"	 0.11700	 0.11700	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-01-30	"S"	 0.79200	 0.79200	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-02-14	"B"	 0.18500	 0.18500	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-02-14	"S"	 0.64100	 0.64100	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-03-11	"B"	 0.29300	 0.29300	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-03-11	"S"	 0.75900	 0.75900	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-04-08	"B"	 0.29000	 0.29000	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-04-08	"S"	 0.64700	 0.64700	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-04-22	"B"	 0.32400	 0.32400	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-04-22	"S"	 0.68600	 0.68600	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-05-13	"B"	 0.14900	 0.14900	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-05-13	"S"	 0.66600	 0.66600	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-05-28	"B"	 0.04680	 0.04680	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-05-28	"S"	 0.63900	 0.63900	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-06-10	"B"	 0.00240	 0.00240	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-06-10	"S"	 0.40400	 0.40400	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-07-08	"B"	 0.00210	 0.00210	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-07-08	"S"	 0.01370	 0.01370	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-07-22	"B"	 0.00170	 0.00170	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-07-22	"S"	 0.02320	 0.02320	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-08-05	"B"	 0.00460	 0.00460	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-08-05	"S"	 0.00130	 0.00130	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-08-26	"B"	 0.00250	 0.00250	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-08-26	"S"	 0.00330	 0.00330	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-09-09	"B"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-09-09	"S"	 0.00630	 0.00630	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-10-07	"B"	 0.18600	 0.18600	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-10-07	"S"	 0.17300	 0.17300	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-11-18	"B"	 0.07630	 0.07630	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-11-18	"S"	 0.50100	 0.50100	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-12-09	"B"	 0.07730	 0.07730	" "	""	NA	""	""	""	""	""
"CB5.1"	1996-12-09	"S"	 0.31900	 0.31900	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-01-14	"B"	 0.18100	 0.18100	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-01-14	"S"	 0.49700	 0.49700	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-02-12	"B"	 0.12400	 0.12400	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-02-12	"S"	 0.40800	 0.40800	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-03-04	"B"	 0.18300	 0.18300	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-03-04	"S"	 0.47500	 0.47500	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-04-02	"B"	 0.39300	 0.39300	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-04-02	"S"	 0.53000	 0.53000	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-04-14	"B"	 0.10100	 0.10100	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-04-14	"S"	 0.59400	 0.59400	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-05-12	"B"	 0.11000	 0.11000	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-05-12	"S"	 0.39300	 0.39300	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-05-28	"B"	 0.14000	 0.14000	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-05-28	"S"	 0.31100	 0.31100	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-06-09	"B"	 0.07590	 0.07590	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-06-09	"S"	 0.21700	 0.21700	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-07-14	"B"	 0.00250	 0.00250	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-07-14	"S"	 0.00700	 0.00700	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-07-28	"B"	 0.00890	 0.00890	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-07-28	"S"	 0.00130	 0.00130	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-08-11	"B"	 0.01000	 0.01000	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-08-11	"S"	 0.00150	 0.00150	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-08-25	"B"	 0.01420	 0.01420	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-08-25	"S"	 0.00230	 0.00230	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-09-08	"B"	 0.13100	 0.13100	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-09-08	"S"	 0.00200	 0.00200	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-10-14	"B"	 0.07520	 0.07520	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-10-14	"S"	 0.00310	 0.00310	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-11-17	"B"	 0.00800	 0.00800	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-11-17	"S"	 0.05750	 0.05750	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-12-08	"B"	 0.01540	 0.01540	" "	""	NA	""	""	""	""	""
"CB5.1"	1997-12-08	"S"	 0.03970	 0.03970	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-01-06	"B"	 0.08900	 0.08900	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-01-06	"S"	 0.13300	 0.13300	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-02-11	"B"	 0.13400	 0.13400	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-02-11	"S"	 0.50800	 0.50800	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-03-23	"B"	 0.16300	 0.16300	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-03-23	"S"	 0.54900	 0.54900	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-04-06	"B"	 0.11500	 0.11500	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-04-06	"S"	 0.41100	 0.41100	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-04-21	"B"	 0.09390	 0.09390	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-04-21	"S"	 0.54800	 0.54800	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-05-04	"B"	 0.12100	 0.12100	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-05-04	"S"	 0.55100	 0.55100	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-05-18	"B"	 0.17100	 0.17100	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-05-18	"S"	 0.44600	 0.44600	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-06-01	"B"	 0.11600	 0.11600	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-06-01	"S"	 0.33300	 0.33300	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-07-06	"B"	 0.00150	 0.00150	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-07-06	"S"	 0.00190	 0.00190	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-07-20	"B"	 0.00250	 0.00250	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-07-20	"S"	 0.00210	 0.00210	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-08-03	"B"	 0.00970	 0.00970	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-08-03	"S"	 0.02720	 0.02720	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-08-17	"B"	 0.00930	 0.00930	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-08-17	"S"	 0.00190	 0.00190	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-09-01	"B"	 0.00940	 0.00940	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-09-01	"S"	 0.00160	 0.00160	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-10-13	"B"	 0.13500	 0.13500	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-10-13	"S"	 0.08640	 0.08640	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-11-16	"B"	 0.00750	 0.00750	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-11-16	"S"	 0.00390	 0.00390	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-12-15	"B"	 0.00510	 0.00510	" "	""	NA	""	""	""	""	""
"CB5.1"	1998-12-15	"S"	 0.00390	 0.00390	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-01-11	"B"	 0.01280	 0.01280	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-01-11	"S"	 0.01410	 0.01410	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-02-08	"B"	 0.00470	 0.00470	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-02-08	"S"	 0.16100	 0.16100	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-03-16	"B"	 0.02330	 0.02330	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-03-16	"S"	 0.14000	 0.14000	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-04-26	"B"	 0.02930	 0.02930	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-04-26	"S"	 0.31700	 0.31700	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-05-10	"B"	 0.00890	 0.00890	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-05-10	"S"	 0.28200	 0.28200	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-05-24	"B"	 0.01290	 0.01290	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-05-24	"S"	 0.11500	 0.11500	" "	""	NA	""	""	""	""	""
"CB5.1"	1999-06-07	"B"	 0.01860	 0.01860	" "	""	NA	""	""	""	""	""
