"station"	"date"	"layer"	"tp..Data.values"	"tp..Data.value2"	"tp.remark.codes"	"tp.value.codes"	"tp.reporting.level"	"tp.reporting.method"	"tp.reporting.units"	"tp.analyte.method"	"tp.analyte.name"	"tp.unique.code"
"CB3.3C"	1986-08-26	"B"	0.11030	0.11030	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	0.05710	0.05710	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	0.04705	0.04705	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	0.06150	0.06150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	0.04685	0.04685	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	0.04740	0.04740	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	0.05750	0.05750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	0.05500	0.05500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	0.12100	0.12100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	0.04600	0.04600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	0.05300	0.05300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	0.04800	0.04800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	0.05000	0.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	0.04400	0.04400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	0.03450	0.03450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	0.04000	0.04000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	0.12100	0.12100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	0.03300	0.03300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	0.04950	0.04950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	0.03300	0.03300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	0.05900	0.05900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	0.03100	0.03100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	0.06150	0.06150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	0.04700	0.04700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	0.03550	0.03550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	0.04100	0.04100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	0.04150	0.04150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	0.02800	0.02800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	0.03550	0.03550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	0.03200	0.03200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	0.03700	0.03700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	0.04400	0.04400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	0.06500	0.06500	" "	""	NA	""	""	""	""	""
