"station"	"date"	"layer"	"po4f..Data.values"	"po4f..Data.value2"	"po4f.remark.codes"	"po4f.value.codes"	"po4f.reporting.level"	"po4f.reporting.method"	"po4f.reporting.units"	"po4f.analyte.method"	"po4f.analyte.name"	"po4f.unique.code"
"CB3.3C"	1986-07-29	"S"	 0.005900	 0.005900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	 0.111200	 0.111200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	 0.006000	 0.006000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	 0.090100	 0.090100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	 0.010400	 0.010400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	 0.024450	 0.024450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	 0.005200	 0.005200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	 0.018700	 0.018700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	 0.007900	 0.007900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	 0.023450	 0.023450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	 0.015000	 0.015000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	 0.026150	 0.026150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	 0.005200	 0.005200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	 0.026750	 0.026750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	 0.020000	 0.020000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	 0.011650	 0.011650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	 0.002800	 0.002800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	 0.003100	 0.003100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	 0.007300	 0.007300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	 0.003050	 0.003050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	 0.002400	 0.002400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	 0.003200	 0.003200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	 0.000000	 0.001600	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	 0.002500	 0.002500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	 0.001800	 0.001800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	 0.003700	 0.003700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	 0.003400	 0.003400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	 0.003400	 0.003400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	 0.010300	 0.010300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	 0.001250	 0.002050	"i"	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	 0.000000	 0.001600	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	 0.003550	 0.003550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	 0.000000	 0.001600	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	 0.020200	 0.020200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	 0.006800	 0.006800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	 0.038600	 0.038600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	 0.006100	 0.006100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	 0.070500	 0.070500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	 0.011500	 0.011500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	 0.081000	 0.081000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	 0.007100	 0.007100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	 0.086800	 0.086800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	 0.009000	 0.009000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	 0.094400	 0.094400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	 0.003000	 0.003000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	 0.054100	 0.054100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	 0.012600	 0.012600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	 0.060800	 0.060800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	 0.008900	 0.008900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	 0.032900	 0.032900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	 0.023100	 0.023100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	 0.007800	 0.007800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	 0.004100	 0.004100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	 0.012050	 0.012050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	 0.002800	 0.002800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	 0.012050	 0.012050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	 0.002100	 0.002100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	 0.004500	 0.004500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	 0.002400	 0.002400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	 0.004950	 0.004950	" "	""	NA	""	""	""	""	""
