"station"	"date"	"layer"	"pp..Data.values"	"pp..Data.value2"	"pp.remark.codes"	"pp.value.codes"	"pp.reporting.level"	"pp.reporting.method"	"pp.reporting.units"	"pp.analyte.method"	"pp.analyte.name"	"pp.unique.code"
"CB3.3C"	1986-07-29	"S"	 0.05430	 0.05430	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	 0.00610	 0.00610	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	 0.05100	 0.05100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	 0.01380	 0.01380	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	 0.03710	 0.03710	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	 0.01755	 0.01755	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	 0.04450	 0.04450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	 0.02735	 0.02735	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	 0.03240	 0.03240	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	 0.02850	 0.02850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	 0.03000	 0.03000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	 0.08750	 0.08750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	 0.02800	 0.02800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	 0.01950	 0.01950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	 0.01900	 0.01900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	 0.02950	 0.02950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	 0.02900	 0.02900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	 0.02350	 0.02350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	 0.02500	 0.02500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	 0.11000	 0.11000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	 0.02400	 0.02400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	 0.03850	 0.03850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	 0.02500	 0.02500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	 0.04950	 0.04950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	 0.02200	 0.02200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	 0.04900	 0.04900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	 0.03600	 0.03600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	 0.02500	 0.02500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	 0.02700	 0.02700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	 0.02850	 0.02850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	 0.01600	 0.01600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	 0.02350	 0.02350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	 0.02300	 0.02300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	 0.01200	 0.01200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	 0.02800	 0.02800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	 0.01900	 0.01900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	 0.03500	 0.03500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	 0.01400	 0.01400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	 0.04900	 0.04900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	 0.01700	 0.01700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	 0.04400	 0.04400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	 0.02500	 0.02500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	 0.06800	 0.06800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	 0.01500	 0.01500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	 0.05200	 0.05200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	 0.01700	 0.01700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	 0.03200	 0.03200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	 0.02300	 0.02300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	 0.03500	 0.03500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	 0.01935	 0.01935	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	 0.01480	 0.01480	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	 0.01390	 0.01390	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	 0.01560	 0.01560	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	 0.02170	 0.02170	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	 0.01330	 0.01330	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	 0.00970	 0.00970	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	 0.00860	 0.00860	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	 0.02865	 0.02865	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	 0.01110	 0.01110	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	 0.05840	 0.05840	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	 0.02170	 0.02170	" "	""	NA	""	""	""	""	""
