"station"	"date"	"layer"	"tdn..Data.values"	"tdn..Data.value2"	"tdn.remark.codes"	"tdn.value.codes"	"tdn.reporting.level"	"tdn.reporting.method"	"tdn.reporting.units"	"tdn.analyte.method"	"tdn.analyte.name"	"tdn.unique.code"
"CB3.3C"	1986-08-12	"S"	0.39000	0.39000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	0.68000	0.68000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	0.35000	0.35000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	0.67500	0.67500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	0.59500	0.59500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	0.42000	0.42000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	0.39020	0.39020	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	0.35320	0.35320	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	0.45140	0.45140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	0.44000	0.44000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	0.63700	0.63700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	0.72900	0.72900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	0.69600	0.69600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	1.05000	1.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	0.49400	0.49400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	1.00000	1.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	0.52650	0.52650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	0.87400	0.87400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	0.53650	0.53650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	1.27000	1.27000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	0.59950	0.59950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	1.15000	1.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	0.70000	0.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	1.29100	1.29100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	0.66800	0.66800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	1.38000	1.38000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	0.59800	0.59800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	0.99000	0.99000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	0.43285	0.43285	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	0.63000	0.63000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	0.76950	0.76950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	0.55400	0.55400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	0.56220	0.56220	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	0.28200	0.28200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	0.70665	0.70665	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	0.39810	0.39810	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	0.47895	0.47895	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	0.57680	0.57680	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	0.38330	0.38330	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	0.75830	0.75830	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	0.45180	0.45180	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	0.44235	0.44235	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	0.41800	0.41800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	0.70320	0.70320	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	0.66500	0.66500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	0.65000	0.65000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	0.74000	0.74000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	0.46500	0.46500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	0.78000	0.78000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	0.54000	0.54000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	0.69000	0.69000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	0.57500	0.57500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	0.92000	0.92000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	0.55500	0.55500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	0.90000	0.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	0.76500	0.76500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	0.95000	0.95000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	0.46000	0.46000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	1.38000	1.38000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	0.91500	0.91500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	1.25000	1.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	0.61000	0.61000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	1.15000	1.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	0.72500	0.72500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	1.03000	1.03000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	0.75000	0.75000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	0.90000	0.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	0.66000	0.66000	" "	""	NA	""	""	""	""	""
