"station"	"date"	"layer"	"nh4f..Data.values"	"nh4f..Data.value2"	"nh4f.remark.codes"	"nh4f.value.codes"	"nh4f.reporting.level"	"nh4f.reporting.method"	"nh4f.reporting.units"	"nh4f.analyte.method"	"nh4f.analyte.name"	"nh4f.unique.code"
"CB3.3C"	1986-07-29	"S"	 0.01300	 0.01300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	 0.38950	 0.38950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	 0.01800	 0.01800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	 0.36350	 0.36350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	 0.04200	 0.04200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	 0.23100	 0.23100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	 0.00400	 0.00400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	 0.09350	 0.09350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	 0.00900	 0.00900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	 0.23050	 0.23050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	 0.02100	 0.02100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	 0.22100	 0.22100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	 0.01100	 0.01100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	 0.23000	 0.23000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	 0.17000	 0.17000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	 0.13300	 0.13300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	 0.10900	 0.10900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	 0.07200	 0.07200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	 0.12800	 0.12800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	 0.03800	 0.03800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	 0.04100	 0.04100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	 0.05900	 0.05900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	 0.04900	 0.04900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	 0.06600	 0.06600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	 0.02300	 0.02300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	 0.13350	 0.13350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	 0.07700	 0.07700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	 0.18150	 0.18150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	 0.15900	 0.15900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	 0.09650	 0.09650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	 0.07000	 0.07000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	 0.11250	 0.11250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	 0.01300	 0.01300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	 0.34500	 0.34500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	 0.07300	 0.07300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	 0.36700	 0.36700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	 0.02400	 0.02400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	 0.49400	 0.49400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	 0.09200	 0.09200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	 0.39400	 0.39400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	 0.02100	 0.02100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	 0.35350	 0.35350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	 0.01200	 0.01200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	 0.33150	 0.33150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	 0.00900	 0.00900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	 0.28250	 0.28250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	 0.04900	 0.04900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	 0.33950	 0.33950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	 0.02400	 0.02400	" "	""	NA	""	""	""	""	""
