"station"	"date"	"layer"	"tss..Data.values"	"tss..Data.value2"	"tss.remark.codes"	"tss.value.codes"	"tss.reporting.level"	"tss.reporting.method"	"tss.reporting.units"	"tss.analyte.method"	"tss.analyte.name"	"tss.unique.code"
"CB3.3C"	1986-07-29	"S"	  10.00000	  10.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	   5.60000	   5.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	   8.00000	   8.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	   0.00000	   4.00000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	   8.00000	   8.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	   8.45000	   8.45000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	   8.50000	   8.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	  16.40000	  16.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	   5.70000	   5.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	  20.00000	  20.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	   7.00000	   7.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	  73.85000	  73.85000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	   5.40000	   5.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	  15.90000	  15.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	   0.00000	   4.00000	"<"	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	  26.10000	  26.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	   4.40000	   4.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	  12.70000	  12.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	   4.80000	   4.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	 105.25000	 105.25000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	   6.70000	   6.70000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	  16.75000	  16.75000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	  10.50000	  10.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	  22.05000	  22.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	   7.00000	   7.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	  17.95000	  17.95000	" "	""	NA	""	""	""	""	""
