"station"	"date"	"layer"	"do..Data.values"	"do..Data.value2"	"do.remark.codes"	"do.value.codes"	"do.reporting.level"	"do.reporting.method"	"do.reporting.units"	"do.analyte.method"	"do.analyte.name"	"do.unique.code"
"CB3.3C"	1986-08-12	"S"	 7.300000	 7.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	11.400000	11.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	 0.400000	 0.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	11.000000	11.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	 2.200000	 2.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	 8.300000	 8.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	 0.900000	 0.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	 6.200000	 6.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	 9.600000	 9.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	 4.100000	 4.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	10.500000	10.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	 7.600000	 7.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	11.700000	11.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	 8.300000	 8.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	10.000000	10.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	10.500000	10.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	13.200000	13.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	 8.800000	 8.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	11.700000	11.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	 8.900000	 8.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	13.600000	13.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	 5.900000	 5.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	10.300000	10.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	 4.500000	 4.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	10.000000	10.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	 2.400000	 2.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	 8.700000	 8.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	 0.300000	 0.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	 7.800000	 7.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	 8.300000	 8.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	 0.300000	 0.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	 8.200000	 8.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	 0.200000	 0.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	 8.900000	 8.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	11.000000	11.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	10.100000	10.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	 9.300000	 9.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	 1.000000	 1.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	 9.300000	 9.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	10.800000	10.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	 3.500000	 3.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	 7.900000	 7.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	 7.300000	 7.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	12.900000	12.900000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	 9.100000	 9.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	13.300000	13.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	 8.500000	 8.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	12.800000	12.800000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	 9.700000	 9.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	14.300000	14.300000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	 9.700000	 9.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	13.200000	13.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	 8.200000	 8.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	11.100000	11.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	 4.700000	 4.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	10.600000	10.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	 6.700000	 6.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	 8.600000	 8.600000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	 4.200000	 4.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	12.200000	12.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	 2.700000	 2.700000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	11.200000	11.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	 0.200000	 0.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	 9.400000	 9.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	 0.000000	 0.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	12.200000	12.200000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	 9.500000	 9.500000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	 9.000000	 9.000000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	 0.100000	 0.100000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	 8.600000	 8.600000	" "	""	NA	""	""	""	""	""
