"station"	"date"	"layer"	"tn..Data.values"	"tn..Data.value2"	"tn.remark.codes"	"tn.value.codes"	"tn.reporting.level"	"tn.reporting.method"	"tn.reporting.units"	"tn.analyte.method"	"tn.analyte.name"	"tn.unique.code"
"CB3.3C"	1986-08-26	"B"	0.736350	0.736350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	0.825450	0.825450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	0.723275	0.723275	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	0.786850	0.786850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	0.701250	0.701250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	0.729500	0.729500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	0.565200	0.565200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	0.443200	0.443200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	0.766400	0.766400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	0.580000	0.580000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	0.662000	0.662000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	0.869000	0.869000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	0.636000	0.636000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	1.080000	1.080000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	0.554000	0.554000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	1.080000	1.080000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	1.066500	1.066500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	1.074000	1.074000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"B"	1.031500	1.031500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-11	"S"	1.530000	1.530000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"B"	1.009500	1.009500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-03-25	"S"	1.400000	1.400000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"B"	1.275000	1.275000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-07	"S"	1.571000	1.571000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"B"	0.967000	0.967000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-04-21	"S"	1.390000	1.390000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"B"	0.788000	0.788000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-05	"S"	1.010000	1.010000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"B"	0.652850	0.652850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-05-19	"S"	0.890000	0.890000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"B"	0.809500	0.809500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-02	"S"	0.714000	0.714000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"B"	0.927200	0.927200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-06-16	"S"	0.882000	0.882000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"B"	0.633800	0.633800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-07	"S"	0.508100	0.508100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"B"	0.658950	0.658950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-07-21	"S"	0.481700	0.481700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"B"	0.931800	0.931800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-04	"S"	0.853300	0.853300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"B"	0.768300	0.768300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-08-18	"S"	0.611800	0.611800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"B"	0.572350	0.572350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-02	"S"	0.538000	0.538000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"B"	0.713200	0.713200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-09-15	"S"	0.855000	0.855000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"B"	0.758500	0.758500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-06	"S"	0.881000	0.881000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"B"	0.565400	0.565400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-10-20	"S"	1.089000	1.089000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"B"	0.670000	0.670000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-11-17	"S"	0.839000	0.839000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"B"	0.641900	0.641900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-12-15	"S"	0.995600	0.995600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-01-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"B"	1.252500	1.252500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-02-23	"S"	1.180000	1.180000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"B"	1.232000	1.232000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-17	"S"	1.631000	1.631000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"B"	1.169000	1.169000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-03-30	"S"	1.383000	1.383000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"B"	0.907500	0.907500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-12	"S"	1.247300	1.247300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"B"	1.002000	1.002000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-04-26	"S"	1.284000	1.284000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"B"	1.065500	1.065500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-10	"S"	1.278000	1.278000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"B"	0.757900	0.757900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-05-24	"S"	1.208000	1.208000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"B"	0.721000	0.721000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-07	"S"	1.185000	1.185000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"B"	0.691950	0.691950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-06-21	"S"	0.740000	0.740000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"B"	0.743700	0.743700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	0.787000	0.787000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	0.769500	0.769500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	1.115000	1.115000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	0.727000	0.727000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	1.219000	1.219000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	0.658050	0.658050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	1.018000	1.018000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	0.675750	0.675750	" "	""	NA	""	""	""	""	""
