"station"	"date"	"layer"	"secchi..Data.values"	"secchi..Data.value2"	"secchi.remark.codes"	"secchi.value.codes"	"secchi.reporting.level"	"secchi.reporting.method"	"secchi.reporting.units"	"secchi.analyte.method"	"secchi.analyte.name"	"secchi.unique.code"
"CB3.3C"	2010-08-03	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-08-03	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-08-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-08-24	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-09-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-09-21	"S"	1.30	1.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-10-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-10-19	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-11-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-11-23	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-12-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2010-12-16	"S"	0.70	0.70	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-01-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-01-11	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-02-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-02-10	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-03-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-03-15	"S"	0.10	0.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-04-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-04-12	"S"	0.50	0.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-05-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-05-10	"S"	0.30	0.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-06-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-06-07	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-06-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-06-28	"S"	0.40	0.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-07-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-07-12	"S"	0.40	0.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-08-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-08-09	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-08-29	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-08-29	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-09-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-09-20	"S"	0.30	0.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-10-03	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-10-03	"S"	0.50	0.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-10-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-10-18	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-11-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-11-15	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-12-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2011-12-13	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-01-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-01-11	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-02-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-02-15	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-03-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-03-13	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-04-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-04-17	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-05-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-05-15	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-06-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-06-05	"S"	0.70	0.70	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-06-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-06-26	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-07-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-07-24	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-08-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-08-07	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-08-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-08-21	"S"	1.30	1.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-09-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-09-20	"S"	0.90	0.90	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-10-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-10-16	"S"	0.90	0.90	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-11-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-11-15	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-12-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2012-12-11	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-01-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-01-17	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-02-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-02-12	"S"	0.30	0.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-03-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-03-20	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-04-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-04-16	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-05-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-05-14	"S"	0.50	0.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-06-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-06-04	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-06-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-06-25	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-07-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-07-16	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-08-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-08-13	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-09-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-09-17	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-10-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-10-14	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-11-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-11-20	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-12-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2013-12-10	"S"	0.90	0.90	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-02-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-02-19	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-03-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-03-19	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-05-01	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-05-01	"S"	0.90	0.90	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-05-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-05-13	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-06-03	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-06-03	"S"	0.90	0.90	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-07-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-07-08	"S"	0.40	0.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-07-22	"S"	0.70	0.70	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-08-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-08-05	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-08-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-08-26	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-09-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-09-16	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-10-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-10-21	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-11-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-11-19	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-12-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2014-12-16	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-01-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-01-14	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-02-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-02-11	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-03-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-03-17	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-04-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-04-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-05-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-05-06	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-06-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-06-02	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-06-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-06-23	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-07-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-07-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-08-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-08-04	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-08-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-08-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-09-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-09-15	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-10-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-10-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-10-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-10-20	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-11-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	2015-11-17	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-01-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-01-14	"S"	2.30	2.30	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-02-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-02-11	"S"	1.70	1.70	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-03-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-03-04	"S"	2.70	2.70	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-03-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-03-19	"S"	2.10	2.10	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-04-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-04-08	"S"	2.20	2.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-04-22	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-04-22	"S"	2.30	2.30	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-05-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-05-06	"S"	3.00	3.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-05-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-05-20	"S"	2.40	2.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-06-03	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-06-03	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-06-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-06-17	"S"	1.90	1.90	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-07-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-07-08	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-07-22	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-07-22	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-08-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-08-06	"S"	1.70	1.70	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-08-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-08-19	"S"	1.90	1.90	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-09-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-09-09	"S"	1.30	1.30	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-09-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-09-23	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-10-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-10-07	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-10-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-10-21	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-11-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-11-12	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-12-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1985-12-09	"S"	2.10	2.10	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-01-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-01-06	"S"	2.20	2.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-02-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-02-10	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-03-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-03-10	"S"	2.20	2.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-03-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-03-24	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-04-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-04-07	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-04-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-04-21	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-05-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-05-12	"S"	4.40	4.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-05-26	"S"	3.00	3.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-06-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-06-09	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-06-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-06-23	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-07-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-07-15	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-07-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-07-28	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-08-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-08-11	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-08-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-08-25	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-09-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-09-08	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-09-22	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-09-22	"S"	2.30	2.30	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-10-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-10-08	"S"	2.60	2.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-10-27	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-10-27	"S"	3.00	3.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-11-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-11-17	"S"	2.40	2.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-12-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1986-12-08	"S"	2.30	2.30	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-01-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-01-05	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-02-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-02-24	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-03-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-03-09	"S"	3.20	3.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-03-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-03-24	"S"	3.00	3.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-04-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-04-06	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-04-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-04-20	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-05-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-05-06	"S"	2.60	2.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-05-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-05-18	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-06-01	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-06-01	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-06-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-06-15	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-07-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-07-06	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-07-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-07-20	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-08-03	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-08-03	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-08-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-08-17	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-09-01	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-09-01	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-09-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-09-14	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-10-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-10-05	"S"	2.20	2.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-10-19	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-10-19	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-11-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-11-16	"S"	3.00	3.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-12-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1987-12-14	"S"	3.40	3.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-01-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-01-11	"S"	2.60	2.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-02-22	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-02-22	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-03-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-03-16	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-03-29	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-03-29	"S"	2.40	2.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-04-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-04-11	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-04-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-04-25	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-05-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-05-09	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-05-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-05-23	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-06-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-06-06	"S"	1.30	1.30	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-06-20	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-06-20	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-07-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-07-05	"S"	1.90	1.90	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-07-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-07-18	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-08-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-08-08	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-08-22	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-08-22	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-09-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-09-06	"S"	2.20	2.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-09-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-09-21	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-10-03	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-10-03	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-10-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-10-18	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-11-22	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-11-22	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-12-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1988-12-05	"S"	2.60	2.60	" "	""	NA	""	""	""	""	""
"CB5.1"	1989-01-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1989-01-17	"S"	3.20	3.20	" "	""	NA	""	""	""	""	""
"CB5.1"	1989-02-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB5.1"	1989-02-13	"S"	2.80	2.80	" "	""	NA	""	""	""	""	""
