"station"	"date"	"layer"	"secchi..Data.values"	"secchi..Data.value2"	"secchi.remark.codes"	"secchi.value.codes"	"secchi.reporting.level"	"secchi.reporting.method"	"secchi.reporting.units"	"secchi.analyte.method"	"secchi.analyte.name"	"secchi.unique.code"
"CB3.3C"	1986-06-24	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-07-29	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-12	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-08-26	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-09	"S"	0.70	0.70	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-09-23	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-07	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-10-28	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-11-18	"S"	2.40	2.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1986-12-09	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-01-06	"S"	2.20	2.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1987-02-25	"S"	1.70	1.70	" "	""	NA	""	""	""	""	""
