"","values","value2"
"297",1.3,1.3
"298",11.6,11.6
"299",1.95,1.95
"300",12.2,12.2
"301",1.25,1.25
"302",26.7,26.7
"303",0.5,1
"304",9,9
"305",0.55,1.05
"306",10.5,10.5
"307",1.4,1.4
"308",5.7,5.7
"309",2.75,2.75
"310",6.4,6.4
"311",1.15,1.15
"312",8.1,8.1
"313",1.9,1.9
"314",34.8,34.8
"315",1.3,1.3
"316",4.3,4.3
"317",2.6,2.6
"318",9.2,9.2
"319",9.35,9.35
"320",1.7,1.7
"321",9.1,9.1
"322",4.9,4.9
"323",15.15,15.15
"324",2.5,2.5
"325",9.35,9.35
"326",1,1
"327",1.9,1.9
"328",1.5,1.5
"329",1,1
"330",20.9,20.9
"331",3.85,3.85
"332",6.9,6.9
"333",3.15,3.15
"334",13,13
"335",1.35,1.35
"336",9.3,9.3
"337",4.5,4.5
"338",8,8
"339",2.9,2.9
"340",9,9
"341",1.15,1.15
"342",14.2,14.2
"343",1.1,1.1
"344",9.5,9.5
"345",2,2
"346",3.8,3.8
"347",5.25,5.25
"348",10.3,10.3
"349",3.1,3.1
"350",8.2,8.2
"351",0.95,1.45
"352",4.5,4.5
"353",2.25,2.25
"354",12.5,12.5
"355",3.85,3.85
"356",1.5,1.5
"357",4.8,4.8
"358",17,17
"359",45.25,45.25
"360",16.7,16.7
"361",39.75,39.75
"362",16.7,16.7
"363",20.55,20.55
"364",4.5,4.5
"365",6.25,6.25
"366",1.5,1.5
"367",2.8,2.8
"368",2,2
"369",15.95,15.95
"370",7.8,7.8
"371",5.05,5.05
"372",11.6,11.6
"373",6.75,6.75
"374",30.5,30.5
"375",4.2,4.2
"376",15.7,15.7
"377",3.25,3.25
"378",35.6,35.6
"379",3,3
"380",12.3,12.3
"381",3.35,3.35
"382",14.7,14.7
"383",2.8,2.8
"384",22.4,22.4
"385",0,1
"386",17,17
"387",2.7,2.7
"388",7.3,7.3
"389",2.25,2.25
"390",11.5,11.5
"391",2.85,2.85
"392",9.9,9.9
"393",5.25,5.25
"394",10.3,10.3
"395",2.9,2.9
"396",5.7,5.7
"397",9.9,9.9
"398",6.5,6.5
"399",85.6,85.6
"400",9,9
"401",38.15,38.15
"402",7,7
"403",12.3,12.3
"404",13.2,13.2
"405",20.3,20.3
"406",8.5,8.5
"407",35.15,35.15
"408",23.7,23.7
"409",3.05,3.05
"410",57.7,57.7
"411",0,1
"412",11.8,11.8
"413",2.65,2.65
"414",17.7,17.7
"415",4.9,4.9
"416",19.9,19.9
"417",2.4,2.4
"418",17.6,17.6
"419",NA,NA
"420",105.2,105.2
"421",1.5,1.5
"422",22.9,22.9
"423",1.35,1.35
"424",11.5,11.5
"425",1.75,1.75
"426",12,12
"427",2.6,2.6
"428",14.2,14.2
"429",0,1
"430",6,6
"431",1.9,1.9
"432",8.2,8.2
"433",6.75,6.75
"434",11.4,11.4
"435",10.3,10.3
"436",2,2
"437",18.7,18.7
"438",6.6,6.6
"439",58.15,58.15
"440",7.7,7.7
"441",87.85,87.85
"442",29.9,29.9
"443",16.1,16.1
"444",10.2,10.2
"445",7.25,7.25
"446",4.8,4.8
"447",4.7,4.7
"448",13.1,13.1
"449",4.35,4.35
"450",6.3,6.3
"451",4.35,4.35
"452",17.4,17.4
"453",2.75,2.75
"454",14.7,14.7
"455",2,2
"456",30.8,30.8
"457",4.3,4.3
"458",15.9,15.9
"459",2.85,2.85
"460",46.9,46.9
"461",5.7,5.7
"462",20.3,20.3
"463",2.7,2.7
"464",2.6,2.6
"465",7,7
"466",4.5,4.5
"467",NA,NA
"468",NA,NA
"469",NA,NA
"470",NA,NA
"471",9.85,9.85
"472",6.3,6.3
"473",6,6
"474",3.6,3.6
"475",9.6,9.6
"476",1.2,1.2
"477",17.55,17.55
"478",8.2,8.2
"479",4.2,4.2
"480",9.5,9.5
"481",4.9,4.9
"482",29.2,29.2
"483",5.4,5.4
"484",13.8,13.8
"485",3.1,3.1
"486",26.3,26.3
"487",1.75,1.75
"488",10.3,10.3
"489",NA,NA
"490",NA,NA
"491",1.355,1.355
"492",25.69,25.69
"493",1.555,1.555
"494",11.18,11.18
"495",2.5,2.5
"496",5.1,5.1
"497",12.05,12.05
"498",4.5,4.5
"499",NA,NA
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",25.1692,25.1692
"504",1.495201,1.495201
"505",30.9008,30.9008
"506",1.19616,1.19616
"507",37.473445,37.473445
"508",9.41976,9.41976
"509",22.428,22.428
"510",13.884,13.884
"511",3.738,3.738
"512",13.2076,13.2076
"513",2.1182,2.1182
"514",5.482399,5.482399
"515",2.2427995,2.2427995
"516",32.59536,32.59536
"517",6.1677,6.1677
"518",10.0926,10.0926
"519",1.4952,1.4952
"520",15.84912,15.84912
"521",2.14935,2.14935
"522",26.5398,26.5398
"523",3.1399205,3.1399205
"524",64.08001,64.08001
"525",2.09328,2.09328
"526",6.57888,6.57888
"527",5.32665,5.32665
"528",8.784303,8.784303
"529",10.9648005,10.9648005
"530",9.569281,9.569281
"531",5.7315,5.7315
"532",8.224,8.224
"533",23.998,23.998
"534",28.11,28.11
"535",24.3715,24.3715
"536",18.241,18.241
"537",15.98,15.98
"538",7.626,7.626
"539",8.8965,8.8965
"540",13.008,13.008
"541",15.1015,15.1015
"542",12.111,12.111
"543",1.246,1.246
"544",10.716,10.716
"545",2.1185,2.1185
"546",12.709,12.709
"547",1.6445,1.6445
"548",20.335,20.335
"549",1.308,1.308
"550",9.185,9.185
"551",0.997,0.997
"552",20.719,20.719
"553",2.5415,2.5415
"554",21.232,21.232
"555",3.204,3.204
"556",13.67,13.67
"557",1.6445,1.6445
"558",13.008,13.008
"559",3.738,3.738
"560",8.971,8.971
"561",9.719,9.719
"562",13.158,13.158
"563",19.064,19.064
"564",8.037,8.037
"565",51.8835,51.8835
"566",11.588,11.588
"567",11.027,11.027
"568",11.962,11.962
"569",28.783,28.783
"570",27.213,27.213
"571",6.0745,6.0745
"572",64.892,64.892
"573",5.682,5.682
"574",16.746,16.746
"575",2.243,2.243
"576",24.671,24.671
"577",3.4385,3.4385
"578",17.344,17.344
"579",1.121,1.121
"580",12.522,12.522
"581",1.7085,1.7085
"582",72.966,72.966
"583",1.6445,1.6445
"584",45.155,45.155
"585",2.492,2.492
"586",29.306,29.306
"587",1.9435,1.9435
"588",20.036,20.036
"589",2.766,2.766
"590",8.971,8.971
"591",7.289,7.289
"592",4.112,4.112
"593",15.1015,15.1015
"594",7.663,7.663
"595",29.7545,29.7545
"596",9.345,9.345
"597",9.2915,9.2915
"598",5.981,5.981
"599",13.756,13.756
"600",14.055,14.055
"601",8.2235,8.2235
"602",NA,NA
"603",9.4195,9.4195
"604",10.466,10.466
"605",3.888,3.888
"606",36.184,36.184
"607",1.495,1.495
"608",24.222,24.222
"609",3.1395,3.1395
"610",16.746,16.746
"611",2.492,2.492
"612",19.936,19.936
"613",1.869,1.869
"614",45.604,45.604
"615",2.243,2.243
"616",29.904,29.904
"617",1.495,1.495
"618",7.476,7.476
"619",4.4855,4.4855
"620",8.037,8.037
"621",4.486,4.486
"622",8.523,8.523
"623",1.682,1.682
"624",6.728,6.728
"625",3.1395,3.1395
"626",4.934,4.934
"627",10.1675,10.1675
"628",6.28,6.28
"629",10.965,10.965
"630",9.345,9.345
"631",13.457,13.457
"632",9.868,9.868
"633",3.8315,3.8315
"634",6.168,6.168
"635",1.682,1.682
"636",6.915,6.915
"637",0.8415,0.8415
"638",3.177,3.177
"639",0.9345,0.9345
"640",19.438,19.438
"641",1.869,1.869
"642",14.952,14.952
"643",1.308,1.308
"644",19.438,19.438
"645",1.869,1.869
"646",7.476,7.476
"647",1.0465,1.0465
"648",14.653,14.653
"649",1.682,1.682
"650",24.671,24.671
"651",2.3365,2.3365
"652",5.046,5.046
"653",4.9525,4.9525
"654",8.784,8.784
"655",15.9985,15.9985
"656",4.486,4.486
"657",12.4105,12.4105
"658",9.532,9.532
"659",24.2225,24.2225
"660",24.11,24.11
"661",71.022,71.022
"662",5.981,5.981
"663",25.418,25.418
"664",6.915,6.915
"665",29.1565,29.1565
"666",26.54,26.54
"667",3.289,3.289
"668",5.084,5.084
"669",4.785,4.785
"670",9.719,9.719
"671",2.8405,2.8405
"672",16.746,16.746
"673",2.8405,2.8405
"674",24.521,24.521
"675",5.5655,5.5655
"676",19.438,19.438
"677",4.0375,4.0375
"678",34.39,34.39
"679",3.289,3.289
"680",30.203,30.203
"681",2.0935,2.0935
"682",12.261,12.261
"683",2.5415,2.5415
"684",7.177,7.177
"685",2.093,2.093
"686",7.775,7.775
"687",3.738,3.738
"688",6.915,6.915
"689",23.5495,23.5495
"690",2.99,2.99
"691",19.139,19.139
"692",3.888,3.888
"693",44.9805,44.9805
"694",18.241,18.241
"695",51.9585,51.9585
"696",22.428,22.428
"697",4.299,4.299
"698",8.971,8.971
"699",2.99,2.99
"700",3.289,3.289
"701",4.6355,4.6355
"702",14.952,14.952
"703",3.888,3.888
"704",10.466,10.466
"705",2.691,2.691
"706",17.569,17.569
"707",1.1965,1.1965
"708",10.253,10.253
"709",1.495,1.495
"710",NA,NA
"711",2.093,2.093
"712",8.672,8.672
"713",1.9435,1.9435
"714",85.226,85.226
"715",1.9435,1.9435
"716",29.605,29.605
"717",1.7445,1.7445
"718",2.243,2.243
"719",1.6445,1.6445
"720",7.476,7.476
"721",1.682,1.682
"722",23.736,23.736
"723",1.9435,1.9435
"724",6.878,6.878
"725",14.578,14.578
"726",1.196,1.196
"727",37.131,37.131
"728",13.158,13.158
"729",64.294,64.294
"730",14.017,14.017
"731",48.096,48.096
"732",7.476,7.476
"733",3.2395,3.2395
"734",5.482,5.482
"735",2.243,2.243
"736",8.373,8.373
"737",6.4295,6.4295
"738",12.261,12.261
"739",0.673,0.673
"740",7.775,7.775
"741",1.6445,1.6445
"742",14.354,14.354
"743",2.691,2.691
"744",12.261,12.261
"745",2.392,2.392
"746",10.765,10.765
"747",0.4485,0.4485
"748",NA,NA
"749",1.7195,1.7195
"750",14.354,14.354
"751",2.093,2.093
"752",24.521,24.521
"753",2.8405,2.8405
"754",6.878,6.878
"755",3.289,3.289
"756",17.643,17.643
"757",5.383,5.383
"758",10.466,10.466
"759",19.8865,19.8865
"760",20.335,20.335
"761",41.716,41.716
"762",44.856,44.856
"763",36.3335,36.3335
"764",29.306,29.306
"765",8.722,8.722
"766",11.962,11.962
"767",4.735,4.735
"768",5.682,5.682
"769",14.0975,14.0975
"770",10.466,10.466
"771",1.7755,1.7755
"772",4.486,4.486
"773",0.8225,0.8225
"774",12.859,12.859
"775",4.486,4.486
"776",29.306,29.306
"777",3.177,3.177
"778",12.335,12.335
"779",2.093,2.093
"780",23.325,23.325
"781",1.8155,1.8155
"782",33.492,33.492
"783",2.093,2.093
"784",27.811,27.811
"785",1.9435,1.9435
"786",30.402,30.402
"787",3.738,3.738
"788",16.148,16.148
"789",7.663,7.663
"790",10.317,10.317
"791",3.5885,3.5885
"792",6.878,6.878
"793",2.766,2.766
"794",31.399,31.399
"795",15.55,15.55
"796",6.13,6.13
"797",22.0545,22.0545
"798",2.691,2.691
"799",14.5035,14.5035
"800",25.418,25.418
"801",4.4855,4.4855
