"","values","value2"
"649",0.0111,0.0111
"650",0.0341,0.0341
"651",0.01215,0.01215
"652",0.0096,0.0096
"653",0.01225,0.01225
"654",0.0152,0.0152
"655",0.024,0.024
"656",0.0145,0.0145
"657",0.0189,0.0189
"658",0.0198,0.0198
"659",0.0347,0.0347
"660",0.0193,0.0193
"661",0.1459,0.1459
"662",0.0127,0.0127
"663",0.03105,0.03105
"664",0.0232,0.0232
"665",0.05745,0.05745
"666",0.0413,0.0413
"667",0.02605,0.02605
"668",0.0196,0.0196
"669",0.0262,0.0262
"670",0.0379,0.0379
"671",0.0197,0.0197
"672",0.0346,0.0346
"673",0.02315,0.02315
"674",0.0291,0.0291
"675",0.01895,0.01895
"676",0.0359,0.0359
"677",0.01735,0.01735
"678",0.0545,0.0545
"679",0.00975,0.00975
"680",0.04,0.04
"681",0.0145,0.0145
"682",0.0252,0.0252
"683",0.01735,0.01735
"684",0.0137,0.0137
"685",0.03725,0.03725
"686",0.0168,0.0168
"687",0.01755,0.01755
"688",0.0141,0.0141
"689",0.1141,0.1141
"690",0.0217,0.0217
"691",0.03335,0.03335
"692",0.0237,0.0237
"693",0.10545,0.10545
"694",0.0261,0.0261
"695",0.04665,0.04665
"696",0.0245,0.0245
"697",0.06845,0.06845
"698",0.0301,0.0301
"699",0.0471,0.0471
"700",0.0204,0.0204
"701",0.0501,0.0501
"702",0.0188,0.0188
"703",0.01495,0.01495
"704",0.0166,0.0166
"705",0.01625,0.01625
"706",0.0273,0.0273
"707",0.01075,0.01075
"708",0.0188,0.0188
"709",0.0191,0.0191
"710",0.0224,0.0224
"711",0.02155,0.02155
"712",0.0216,0.0216
"713",0.01295,0.01295
"714",0.116,0.116
"715",0.01595,0.01595
"716",0.0374,0.0374
"717",0.0154,0.0154
"718",0.0355,0.0355
"719",0.01735,0.01735
"720",0.021,0.021
"721",0.01905,0.01905
"722",0.034,0.034
"723",0.03125,0.03125
"724",0.0236,0.0236
"725",0.0673,0.0673
"726",0.0156,0.0156
"727",0.08715,0.08715
"728",0.0196,0.0196
"729",0.0612,0.0612
"730",0.0208,0.0208
"731",0.09755,0.09755
"732",0.0602,0.0602
"733",0.05495,0.05495
"734",0.0378,0.0378
"735",0.07725,0.07725
"736",0.0201,0.0201
"737",0.0162,0.0162
"738",0.0179,0.0179
"739",0.00905,0.00905
"740",0.0252,0.0252
"741",0.0143,0.0143
"742",0.0326,0.0326
"743",0.018,0.018
"744",0.0302,0.0302
"745",0.0243,0.0243
"746",0.0277,0.0277
"747",0.00655,0.00655
"748",0.0375,0.0375
"749",0.00865,0.00865
"750",0.027,0.027
"751",0.01825,0.01825
"752",0.0273,0.0273
"753",0.04255,0.04255
"754",0.0113,0.0113
"755",0.05595,0.05595
"756",0.0266,0.0266
"757",0.0292,0.0292
"758",0.0276,0.0276
"759",0.0548,0.0548
"760",0.0173,0.0173
"761",0.0396,0.0396
"762",0.04,0.04
"763",0.033,0.033
"764",0.024,0.024
"765",0.0624,0.0624
"766",0.0359,0.0359
"767",0.06965,0.06965
"768",0.0207,0.0207
"769",0.0312,0.0312
"770",0.0145,0.0145
"771",0.01355,0.01355
"772",0.0148,0.0148
"773",0.01025,0.01025
"774",0.0218,0.0218
"775",0.054,0.054
"776",0.0366,0.0366
"777",0.0247,0.0247
"778",0.0335,0.0335
"779",0.01985,0.01985
"780",0.0406,0.0406
"781",0.0103,0.0103
"782",0.0548,0.0548
"783",0.013,0.013
"784",0.0489,0.0489
"785",0.0178,0.0178
"786",0.0308,0.0308
"787",0.0309,0.0309
"788",0.0189,0.0189
"789",0.07315,0.07315
"790",0.0224,0.0224
"791",0.02265,0.02265
"792",0.0141,0.0141
"793",0.01085,0.01085
"794",0.0282,0.0282
"795",0.0385,0.0385
"796",0.0115,0.0115
"797",0.05775,0.05775
"798",0.0104,0.0104
"799",0.0271,0.0271
"800",0.0399,0.0399
"801",0.0436,0.0436
"802",0.0464,0.0464
"803",0.04655,0.04655
"804",0.0205,0.0205
"805",0.01465,0.01465
"806",0.0244,0.0244
"807",0.0451,0.0451
"808",0.0371,0.0371
"809",0.0174,0.0174
"810",0.062,0.062
"811",0.0278,0.0278
"812",0.0388,0.0388
"813",0.01255,0.01255
"814",0.0423,0.0423
"815",0.0127,0.0127
"816",0.0415,0.0415
"817",0.0077,0.0077
"818",0.018,0.018
"819",0.0102,0.0102
"820",0.0131,0.0131
"821",0.0106,0.0106
"822",0.0195,0.0195
"823",0.0148,0.0148
"824",0.0139,0.0139
"825",0.0169,0.0169
"826",0.02,0.02
"827",0.0342,0.0342
"828",0.0142,0.0142
"829",0.0278,0.0278
"830",0.0206,0.0206
"831",0.02615,0.02615
"832",0.0353,0.0353
"833",0.0557,0.0557
"834",0.0163,0.0163
"835",0.0224,0.0224
"836",0.0204,0.0204
"837",0.02795,0.02795
"838",0.0936,0.0936
"839",0.027,0.027
"840",0.0407,0.0407
"841",0.01205,0.01205
"842",0.0327,0.0327
"843",0.0119,0.0119
"844",0.0359,0.0359
"845",0.0333,0.0333
"846",0.0438,0.0438
"847",0.00905,0.00905
"848",0.0331,0.0331
"849",0.0114,0.0114
"850",0.0291,0.0291
"851",0.0358,0.0358
"852",0.0248,0.0248
"853",0.01865,0.01865
"854",0.0209,0.0209
"855",0.0168,0.0168
"856",0.0192,0.0192
"857",0.01805,0.01805
"858",0.0127,0.0127
"859",0.02585,0.02585
"860",0.0233,0.0233
"861",0.02915,0.02915
"862",0.015,0.015
"863",0.12385,0.12385
"864",0.0115,0.0115
"865",0.0185,0.0185
"866",0.0118,0.0118
"867",0.01495,0.01495
"868",0.027,0.027
"869",0.0406,0.0406
"870",0.0209,0.0209
"871",0.01705,0.01705
"872",0.0351,0.0351
"873",0.02025,0.02025
"874",0.0264,0.0264
